County,Address,Phone,Fax,Email,geo_tag
Greene,"313 Lafayette Avenue, P.O. Box 1244, Leakesville, MS 39451",(601) 394-2442,,,ms_28041
Grenada,"Grenada County Courthouse, First Floor",(662) 226-1821,(662) 227-2860,,ms_28043
Hancock,"854 Highway 90, Suite 1, Bay St. Louis, MS 39520",(228) 467-2100,(228) 467-2691,,ms_28045
Harrison,,(228) 435-8271,(228) 436-8649,vetoff2@co.harrison.ms.us,ms_28047
Hinds,"316 South President Street, Jackson, MS 39205",(601) 968-5408,,,ms_28049
Holmes,"16979 Hwy 17, Lexington, MS 39095, Mailing Address, P.O. Box 219, Lexington, MS 39095",(662) 834-3134,,,ms_28051
Humphreys,"Belzoni Courthouse, P.O. Box 234, Belzoni, MS 3903",(662) 247-0143,(662) 247-0101,,ms_28053
Issaquena,5490 Glen Allen Road,(662) 403-0241,,,ms_28055
Itawamba,507 Legion Dr.,(662) 862-2841,(662) 862-2841,,ms_28057
Jackson,"4111 Amonett, Pascagoula, MS 39568",(228) 769-3075,(601) 696-6284,,ms_28059
Jasper,37 E West 8th Ave.,(601) 764-2871,(601) 764-2035,,ms_28061
Jefferson Davis,"Courthouse, Wellness Center, Bassfield, MS",(601) 792-5939,,,ms_28065
Jefferson,1483 Main Street,(601) 786-3021,(601) 786-6009,,ms_28063
Jones,"695 County Home Road, Suite 1, Ellisville, MS 39347",(601) 428-0467,(601) 283-3289,,ms_28067
Kemper,,(601) 743-2247,,kcvso@att.net,ms_28069
Lafayette,"722 M.L.K. Jr. Drive, Oxford, MS 38655",(662) 236-3111,,veterans@lafayettecoms.com,ms_28071
Lamar,"Three Locations, 12 Veterans Drive, Purvis, MS 39475",(601) 794-4218,(601) 758-0015,,ms_28073
Lauderdale,"1827 23rd Avenue, Meridian, MS 39302",(601) 482-9811,(601) 587-0750,,ms_28075
Lawrence,,(601) 587-3006,(601) 587-0750,veterans@co.lawrence.ms.us,ms_28077
Leake,"101 Court Square, Room 102, Carthage, MS 39051",(601) 267-7200,(601) 267-7200,,ms_28079
Lee,"300 West Main Street, Mailing Address, P.O. Box 1785, Tupelo, MS 38802",(662) 432-2099,(662) 432-2098,,ms_28081
LeFlore,310 West Market Street,(662) 453-3157,(662) 451-7324,,ms_28083
Lincoln,,(601) 835-3470,(601) 835-3455,vsolincoln@co.lincoln.ms.us,ms_28085
Lowndes,"17 Airline Road,, Columbus, MS 39702, **Mailing: **, P.O. Box 1364, Columbus, MS 39703",(662) 327-2005,(662) 328-5430,,ms_28087
Madison,"125 W. North Street, Canton, MS 39046",(601) 855-5689,(601) 859-5875,,ms_28089
Marion,"124 McGeehee Drive, Columbia, MS 39429",(601) 736-0740,(601) 736-0750,,ms_28091
Marshall,543 J M Ash Drive,(662) 252-5508,(662) 333-1153,,ms_28093
Monroe,"Two Locations, American Legion Post 26, 523 Highway 145 N.",(662) 436-9191,(662) 305-3207,,ms_28095
Montgomery,"618 Summit Street, Courthouse, Mailing Address, P.O. Box 401, Winona, MS 38967",(662) 283-1618,(662) 283-2333,,ms_28097
Neshoba,"Two Locations, 11901 Highway 15 North, Philadelphia, MS 39350",(601) 656-4531,(601) 389-5866,,ms_28099
Newton,"14712 Highway 15, Mailing Address, P.O. Box 665, Decatur, MS 39327",(601) 635-2178,(601) 635-4014,,ms_28101
Noxubee,158 Dr. Martin Luther King Jr. Drive,(662) 726-5423,(662) 726-5262,,ms_28103
Oktibbeha,"Main Courthouse 2nd Floor, 101 East Main Street, Starkville, MS 39759",(662) 323-6155,,,ms_28105
Panola,"National Guard Armory, 705 Keating Road,, Batesville, MS 39606",(662) 563-5757,,,ms_28107
Pearl River,153 Savannah Millard Road,(601) 403-2558,(601) 403-2567,,ms_28109
Perry,"103 South Main Street, Perry County Courthouse, New Augusta, MS 39462",(601) 964-8214,(601) 964-8214,,ms_28111
Pike,1002 Warren Krout Rd.,(601) 684-9966,(601)684-9966,,ms_28113
Pontotoc,"311 Center Ridge Drive, Pontotoc, MS 38863",(662) 489-3907,,,ms_28115
Prentiss,"P.O. Box 477, Booneville, MS 38829",(662) 728-5532,,vso.prentissco@yahoo.com,ms_28117
Quitman,"1054 Charlie Pride Highway, Marks, MS 38646",(662) 645-3818,,,ms_28119
Rankin,"211 East Government Street, Suite A, Brandon, MS 39042",(601) 824-2652,,,ms_28121
Scott,"100 East Main Street, Mailing Address, P.O. Box 630, Forest, MS 39074, www.scottcountyms.gov/veteran-service",(601) 469-4477,,,ms_28123
Sharkey,301 East China Street,(662) 527-1999,,,ms_28125
Simpson,2nd Floor Old Courthouse,(601) 847-1354,,,ms_28127
Smith,County Office Building,(601) 782-9222,(601) 782-9488,,ms_28129
Stone,"311 Court St. Suite A Wiggins, Wiggins, MS 39577",(601) 928-7509,(601) 928-5122,,ms_28131
Sunflower,Courthouse 1st Floor,,(662) 299-9205,,ms_28133
Tallahatchie,"Two Locations, 137 Main Street, 301 North Market Street, Charleston, MS 38921",(662) 647-5305,(662) 647-3702,,ms_28135
Tate,"107 Court Street, Senatobia, MS 38668",(662) 301-8364,(662) 301-2200,,ms_28137
Tippah,"107 North Main Street, Ripley, MS 38663",(662) 837-9214,(662) 512-0193,,ms_28139
Tishomingo,"1008 Battleground Drive, Room 211, Iuka, MS 38852",(662) 423-7053,,,ms_28141
Tunica,Highway 61 South,(662) 357-1471,,,ms_28143
Union,"116 East Bankhead Street, Courthouse",: (662) 534-1982,(662) 534-9244,,ms_28145
Walthall,"908 Armory Road, Tylertown, MS 39667",,,,ms_28147
Warren,1009 Cherry Street,(601)636-1627,(601) 636-1628,,ms_28149
Washington,"240 South Theobald Street, Greenville, MS 38702",(662) 335-6196,(662) 332-8275,,ms_28151
Wayne,"609 Azalea Drive, Waynesboro, MS 39367",(601) 735-4258,(601) 671-3761,,ms_28153
Webster,1842 Veterans Memorial Blvd.,(662) 258-3051,(662) 258-3093,,ms_28155
Wilkinson,"Two Locations, Woodville Courthouse - 525 Main Street, Centreville Town Hall - 1 Municipal Drive",,,,ms_28157
Winston,"5595 Old Robinson Road, Louisville, MS 39339",(662) 773-9555,(662) 773-9557,,ms_28159
Yalobusha,"306 Railroad Street, Water Valley, MS 38965",(662) 934-8145,,,ms_28161
Yazoo,212 East Broadway,(662) 746-1008,(662) 746-2023,,ms_28163
