County,Location_Name,Building_Name,Street_Address,City,State,Zip,Office_Phone,Office_Phone2,Fax,Office_Hours,Website,geo_tag
Cook,Illinois Dept of Veterans' Affairs - Cook County - DesPlaines,Frisbie Senior Center,52 E Northwest Hwy,Des Plaines,IL,60016,847-294-4664,,,Tuesday – Friday 8:00 AM – 4:00 PM  ** Call for Appointment **,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17031
Cook,Illinois Department of Veteran's Affairs - Elk Grove Township,Elk Grove Township,600 Landmeier Road,Elk Grove Village,IL,60007,224 265-6112,,,Tuesday - Friday  8:00 AM to 4:00 PM  **Appointment Only**,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17031
Cook,Evanston Vet Center,Evanston Vet Center,1901 W. Howard Street,Evanston,IL,60202,(847) 332-1019,(815)904-3883,,Tuesdays – 9:00 AM – 4:00 PM  **Appointments Only**,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17031
Cook,Illinois Department of Veteran's Affairs -Forest Park,American Security,1515 S. Harlem Ave.,Forest Park,IL,60130,708-366-5020,,,"Monday - Friday,  8:30 AM  -  4:00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17031
Cook,Illinois Dept of Veterans' Affairs - Cook County - Schaumburg Township (ITINERANT),,1 Illinois Blvd.,Hoffman Estates,IL,60169,847 884-0030 x2019,,,Monday and Thursdays Only 9:00 AM -4:00 PM / *Appointments Only*,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17031
Cook,Illinois Dept of Veterans' Affairs - Cook County -Palatine Township,Palatine Township,"721 S. Quentin Rd., Suite 102",Palatine,IL,60067,847-485-2772,,,"Tuesday, Wednesday, Friday 8:00 AM – 4:00 PM (Remote Wednesdays)",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17031
Cook,Park Forest Village Hall (Itinerant),Park Forest Village Hall,350 Victory Drive,Park Forest,IL,60466,217-720-6945,,,Tuesdays and Wednesdays    9:00 AM- 4:00 PM (*** Appointments Only ***),https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17031
Cook,IDVA Cook County - VAC - Richton Park ** Temporarily Closed **,VA Vet Center - Richton Park ** Temporarily Closed **,4511 Sauk Trail,Richton Park,IL,60471,217-720-6945,,,** Temporarily Closed **,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17031
Crawford,Illinois Dept of Veterans' Affairs - Crawford County,Secretary of State Bldg,300 W Main St,Robinson,IL,62454,618-546-6045,217-299-8643,618-546-6046,"Monday, Wednesday, Thursday  8:00 AM to 4:00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17033
Cumberland,Illinois Department of Veteran's Affairs - Cumberland County,Cumberland County Courthouse,1 Courthouse Square,Toledo,IL,62468,217-342-8493,,,"2nd Friday, 9:00 AM  -  3:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17035
DeKalb,Illinois Dept of Veterans' Affairs - Dekalb County,IL National Guard Armory,516 E. State St,Sycamore,IL,60178,217-512-4033,,815-338-5464,3rd Tuesday of the month by appt. 9:00 AM -3:30 PM,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17037
DuPage,Illinois Department of Veteran's Affairs - Dupage  County,Dupage County Building,"421 N. County Farm Rd., Rm 2-600A",Wheaton,IL,60187,630-690-9449,,,Monday – Friday 8:30 AM – 4:30 PM,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17043
Edgar,"Illinois Department of Veteran's Affairs - Edgar  County (Itinerant) "" Temporarily Closed will return January 2026 """,American legion Post 211,1031 N Main St,Paris,IL,61944,217-345-2192,,,""" Temporarily Closed will return January 2026 """,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17045
Edwards,Illinois Dept of Veterans' Affairs - Edwards County,The Hope Center,23 W Cherry St,Albion,IL,62806,618-367-3064,,,"1st Tuesday & Wednesday, 9:00 AM  -  12:00 PM, every other month",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17047
Effingham,Illinois Department of Veteran's Affairs - Effingham County,Effingham County Bldg.,"101 N. 4th St., Rm# 203",Effingham,IL,62401,217-342-8493,,,"Monday  -  Friday, 8:00 AM  -  4:00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17049
Franklin,Illinois Department of Veterans Affairs - Franklin County,,302 W Main Street,Benton,IL,62812,618-435-3678,,618-200-6061,Monday-Friday 8:30AM-4:30PM,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17055
Fulton,Illinois Dept of Veterans' Affairs - Fulton County (Itinerant),Lewiston VFW,1323 S Main St,Lewiston,IL,61542,309-837-5838,,,"1st and 3rd Friday,  9:00 AM  -  3:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17057
Henry,Illinois Department of Veteran's Affairs - Henry County,IL National Guard Armory,111 North East Street,Kewanee,IL,61443,309-852-0227,,,"Thursday, 9:00 AM  -  4 :00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17073
Jackson,Illinois Dept of Veterans' Affairs - Jackson County,VA Community Based Outpatient Clinic,"1130 E Walnut St, Room 108",Carbondale,IL,62901,217-606-1933,,,"Monday & Friday, 8:00 AM  -  4:00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17077
Jasper,Illinois Department of Veterans Affairs - Jasper County,Jasper County Courthouse,"204 W Washington St, Suite 2",Newton,IL,62448,217-606-1931,,,"4th Thursday, 9:00 AM to 3:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17079
Jefferson,Illinois Dept of Veterans' Affairs -  Jefferson County,VA Community Based Outpatient Clinic,4000 S Water Tower Pl,Mount Vernon,IL,62864,618-246-2910 x163403,,,"Monday - Friday, 8:30 AM to 4:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17081
Jo Daviess,Illinois Dept of Veterans' Affairs - Jo Daviess County,West Galena Township Building,607 Gear St.,Galena,IL,61036,,,815-233-5263,"4th  Wednesday, 9:00 AM  -  4 :00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17085
Kane,Illinois Department of Veteran's Affairs - Kane County,,965 N. Randall Road,Elgin,IL,60120,217-836-6967,,,"Monday, - Wednesday & Friday 8:00 AM  -  4:00 PM   (by appointment)",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17089
Kane,Aurora CBOC - Kane County Itinerate Office,Aurora CBOC,161 S Lincolnway St.,North Aurora,IL,60542,708-202-9834,,,Mondays 8:00am to 4:00pm,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17089
Kankakee,IDVA Kankakee VAC Itinerate Office - Kankakee County,,581 William Latham Dr.,Bourbonnais,IL,60914,815-937-8489,217-606-1928,815-937-3655,Wednesday Only - Appointments needed -  Hours 9am-4pm,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17091
Kankakee,Illinois Department of Veteran's Affairs - Kankakee County,Manteno Veterans Home,#1 Veterans Drive,Manteno,IL,60950,815-907-3608,217-720-6945; 815-907-3609,,"Monday – Thursday, 8:30 AM – 4:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17091
Knox,Illinois Department of Veteran's Affairs - Knox County,Bondi Building,311 E Main St Suite 202,Galesburg,IL,61401,309-343-1005,309-343-2510,,"Monday  -  Friday, 8:00 AM  -  4:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17095
Lake,Illinois Department of Veteran's Affairs - Lake County,Illinois Student Assistance Commission,"1755 Lake Cook Rd. Suite, 1409",Deerfield,IL,60015,847-948-6983,847-948-6981,,"VSO 1: Monday – Friday, 8:00 AM – 4:00 PM, VSO 2: Monday – Friday, 8:30 AM – 4:30 PM by Appointment",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17097
Lake,Illinois Dept of Veterans' Affairs - Lake  County - Green Bay Road,,3001 Green Bay Road,North Chicago,IL,60064,,,,"Tuesday, 9:00 AM – 3:00 PM by Appointment",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17097
LaSalle,Illinois Department of Veteran's Affairs - LaSalle County,LaSalle Veterans Home,1015 Oconor Ave.,La Salle,IL,61301,815-410-8374,,,"Monday – Friday, 8:30 AM – 4:00 PM by Appointment",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17099
Lawrence,Illinois Department of Veteran's Affairs - Lawrence County,City of Lawrenceville Bldg,700 E State St,Lawrenceville,IL,62439,618-546-6045,217-299-8643,618-546-6046,"1st and 3rd Tuesdays,  9:00 AM – 3:00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17101
Livingston,IDVA - Livingston County,,110 West Water St.,Pontiac,IL,61764,217-685-3248,,,Monday - Friday 8:00 AM to 4:00 PM,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17105
Logan,Illinois Dept of Veterans' Affairs - Logan County (Itinerant),Oasis Senior Center,2810 Woodlawn Rd,Lincoln,IL,62656,217-670-9935,,,"1st and 3rd Tuesday, 9:00 AM  -  3:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17107
Macon,Illinois Department of Veteran's Affairs -Macon  County (Itinerant),Decatur VA CBOC,792 N Sunnyside Rd  - (Itinerant),Decatur,IL,62522,217-362-6645,217-836-5477,,"Friday,  8:30 AM  -  4:00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17115
Macon,Illinois Dept of Veterans' Affairs - Macon County,Millkin Building Suite 440,132 S Water Street,Decatur,IL,62523,217-362-6644,217-362-6645,,"Monday - Friday, 8:30 AM  -  4:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17115
Macoupin,Illinois Department of Veteran's Affairs - Macoupin County,,570 N Broad,Carlinville,IL,62626,217-854-6563,,217-854-6564,"Monday - Friday, 8:30 AM - 4:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17117
Madison,Illinois Dept of Veterans Affairs - Madison County,IL Dept of Human Services,606 W. St. Louis Ave,East Alton,IL,62024,618-251-7854,,,Mondays-Friday 8:30 AM  -  4:30 PM,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17119
Marion,Illinois Dept of Veterans' Affairs - Marion County,,125 W. Broadway,Centralia,IL,62801,217-836-6639,,,"Monday - Thursday, 8:00 AM to 4:00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17121
Marion,Illinois Department of Veterans Affairs - Marion County - Itinerate,Salem Community Activities Center,416 Ogelsby St,Salem,IL,62881,217-836-6639,,,Fridays 9:00 AM to 3:30 PM,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17121
Mason,Illinois Dept of Veterans' Affairs - Mason County (Itinerant),VFW Post 6408,415 W Adams,Havana,IL,62644,309-837-5838,,,"2nd and 4th Friday, 9:00 AM - 3:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17125
McDonough,Illinois Dept of Veterans' Affairs - McDonough County,McDonough District Hospital HSB 1,505 E. Grant St. Suite #302 (HSB 1),Macomb,IL,61455,309-837-5838,309-836-2243,,Monday  -  Friday 8:00 AM  -  4:00 PM,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17109
McHenry,Illinois Department of Veteran's Affairs - Mchenry County,IL National Guard Armory,1301 Sunset Ridge Rd.,Woodstock,IL,60098,815-338-9292,,,"Monday, Wednesday - Friday, 8:00 AM  -  4:00 PM  (by appointment)",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17111
McLean,Illinois Dept of Veterans' Affairs - Mclean County,National Guard Armory,1616 S Main Street,Bloomington,IL,61701,217-685-3248,217-670-4036,,"Monday - Friday , 8:00 AM  -  4:00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17113
McLean,Heartland Community College,Workforce Development Center (WDC 1005),1500 W Raab Rd,Normal,IL,61761,217-670-4036,,,3rd Wednesday and 4th Thursday of Each month 9:00 AM - 3:30 PM,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17113
Mercer,Illinois Department of Veteran's Affairs - Mercer County(Itinerant),County Courthouse,100 S.E. 3rd Street,Aledo,IL,61231,309-582-2717,,,1st and 3rd Thursday; 9:00 AM  -  3:30 PM,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17131
Morgan,Illinois Department of Veteran's Affairs - Morgan County,,73 E Central Park Plaza,Jacksonville,IL,62650,217-517-6076,217-245-0551,,"Monday  -  Friday, 8:00 AM  -  4:00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17137
Peoria,Illinois Department of Veteran's Affairs - Peoria  County #2,Becker Building,401 Main St Suite 650,Peoria,IL,61602,309-671-7679,309-671-3080,,"Monday - Friday, 8:30 AM  -  4:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17143
Pike,Illinois Department of Veteran's Affairs - Pike County (Itinerant),American Legion,1302 W Washington Street,Pittsfield,IL,62363,217-245-0551,,,"2nd and 4th Friday, 9:00 AM - 3:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17149
Randolph,Illinois Department of Veteran's Affairs - Randolph County,City Hall,1330 Swanwick St,Chester,IL,62233,217-606-1933,,,"Thursday, 9:00 AM  -  3:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17157
Richland,Illinois Dept of Veterans' Affairs - Richland County,Senior Citizens Center,308 E Main St,Olney,IL,62450,618-546-6045,217-299-8643,618-546-6046,"Fridays,  9:00 AM – 3:00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17159
Rock Island,Illinois Dept of Veterans' Affairs - Rock Island County,Rock Island County - Ave of Cities,"3800 Avenue of the Cities, Suite 108A",Moline,IL,61265,309-757-9960,,,Monday - Wednesday & Friday 8:30 AM  -  4:00 PM    (by appointment ),https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17161
Saline,Illinois Department of Veterans Affairs - Saline County,Dept of Human Services Bldg,320 E Raymond St,Harrisburg,IL,62946,618-997-3309,,,Monday-Friday 8:00AM-4:00PM,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17165
Sangamon,Illinois Department of Veterans Affairs - Sangamon County,IDVA Central Office,833 S Spring Street,Springfield,IL,62704,217-557-0358,217-782-6645; 217-558-8335,,"Monday - Friday, 8:00 AM - 4:00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17167
Schuyler,Rushville City Hall - Schuyler County,Rushville City Hall,111 E Washington St,Rushville,IL,62681,309-836-2243,,,First Thursday of the Month; 9:00 AM- 3:30 PM,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17169
St. Clair,Illinois Dept of Veterans' Affairs - St. Clair County,MidAmerica Corporate Center,"7650 Magna Dr, Suite 120",Belleville,IL,62223,618-233-8445,618-233-5140,,"Monday  -  Friday, 8:30 AM  -  4:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17163
St. Clair,Illinois Department of Veteran's Affairs - St. Clair County,Kenneth Hall State Regional Bldg,#10 Collinsville Ave,East St. Louis,IL,62201,618-583-2065,217-299-6892,,"Monday through Friday, 8 AM to 4 PM, except every first and third Friday of the month",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17163
Stephenson,Illinois Dept of Veterans' Affairs - Stpehenson County,,1842A S. West Ave.,Freeport,IL,61032,815-233-5092,,,"Monday - Friday, 8:30 AM  -  4:30 PM by appointment",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17177
Union,Anna Veterans Home - Union County,Anna Veterans Home,792 N Main St,Anna,IL,62906,618-833-6302  x230,217-606-1933,,"1st and 3rd Thurs, 9:00 AM – 3:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17181
Vermilion,Illinois Department of Veteran's Affairs - Vermilion County - *** Temporarily Closed ***,Danville VAMC,1900 E Main Street Bldg 98,Danville,IL,61832,217-554-4077,,,***  Temporarily Closed  ***,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17183
Vermilion,Illinois Dept of Veterans' Affairs - Vermilion County - Franklin St,Workforce Development Center   *** Temporarily Closed ***,407 N Franklin Suite B,Danville,IL,61832,217-442-7895,,,*** Temporarily Closed ***,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17183
Wabash,Illinois Dept of Veterans' Affairs - Wabash County,Wabash Valley College,2200 College Dr,Mount Carmel,IL,62863,618-546-6045,217-299-8643,618-546-6046,"2nd and 4th Tuesdays,  9:00 AM – 3:00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17185
Whiteside,Illinois Dept of Veterans' Affairs - Whiteside County *** Temporarily Closed ***,,"4204 E Lincolnway, Suite E",Sterling,IL,61081,815-626-2468,,,*** Temporarily Closed ***,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17195
Whiteside,VA Sterling Outpatient Clinic,,2901 E Lincolnway,Sterling,IL,61081,217-299-2271,,,Tuesdays 9:00 AM – 3:00 PM,https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17195
Will,American Legion (Itinerate) - Joliet,American Legion,2625 Ingalls Ave.,Joliet,IL,60435,217-836-5916,,,"Tuesdays, ""Appointments Only""",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17197
Will,Illinois Dept of Veterans' Affairs - Will County - Joliet,,1300 Copperfield Ave. Suite 200,Joliet,IL,60435,815 730-4334,,,"Monday, Wednesday-Friday, 8:30am-4:30pm",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17197
Will,Illinois Dept of Veteran's Affairs - Will County - Lockport Township,Lockport Township,1463 S. Farrell Rd,Lockport,IL,60041,217-836-1523,,,"Monday - Thursday, 8:30 AM - 4:30 PM (Closed on Fridays)",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17197
Williamson,Illinois Dept of Veterans' Affairs - Williamson County,State Regional Office Bldg,"2309 W Main St, Suite 122",Marion,IL,62959,,618-997-3309,,"Monday  -  Friday, 8:30 AM  -  4:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17199
Winnebago,Illinois Dept of Veterans' Affairs - Winnebago County,Machesney Park Armory,10451 N. 2nd St.,Machesney Park,IL,61115,815-633-5875,815-633-8266; 815-633-6392,,"Monday - Friday, 8:30 AM - 4:30 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17201
Winnebago,Illinois Dept of Veterans' Affairs - Winnebago County,VA Rockford Outpatient Clinic,816 Featherstone Rd.,Rockford,IL,61107,815-227-0081,,,"Tuesday & Thursday, 9:00 AM  -  4:00 PM",https://veterans.illinois.gov/serviceoffices/vso-locator-countylist.html,il_17201
