County,Office_Name,Service_Officer_Name,Location_Name,Street_Address,City,State,Zip,Email,Office_Phone,Fax,Office_Hours,Website,geo_tag
El Dorado,El Dorado County Veterans Service Office,Jonathan Brown,Placerville,"130 Placerville Dr, Ste B",Placerville,CA,95667,,(530) 621-5963,(530) 621-2218,"M, T, TH 9am-4pm; W 10am-4pm; F 9am-12pm",https://www.eldoradocounty.ca.gov/Services/Assistance-Programs/Veteran-Services,ca_06017
El Dorado,El Dorado County Veterans Service Office,Jonathan Brown,South Lake Tahoe,924 Emerald Bay Road,South Lake Tahoe,CA,96150,,(530) 573-7955,(530) 621-2218,1st and 2nd T of each month 8:30am-3:30pm appointment only,https://www.eldoradocounty.ca.gov/Services/Assistance-Programs/Veteran-Services,ca_06017
Fresno,Fresno County Veterans Service Office,Kyle Pennington,Fresno,"1320 E. Shaw Ave., Ste 105",Fresno,CA,93726,,(559) 600-5436,(559) 455-2498,M-Th 8am - 4pm; F 8am - 12pm,https://www.fresnocountyca.gov/Departments/Social-Services/Veterans-Service-Office,ca_06019
Glenn,Glenn County Veterans Service Office,Allen Sheley,Willows,"525 W. Sycamore St, Ste A5",Willows,CA,95988,,(530) 934-6524,(530) 934-6355,M-F 9am - 4pm,https://www.countyofglenn.net/government/departments/veterans-services,ca_06021
Humboldt,Humboldt County Veterans Service Office,Rena Maveety,Eureka,"1105 6th street, #F",Eureka,CA,95501,,(707) 445-7611,(707) 476-2487,M-F 8:30am-12pm & 1pm - 4pm,https://humboldtgov.org/517/Veterans-Service-Office,ca_06023
Imperial,Imperial County Veterans Service Office,David Hernandez,El Centro,217 S. 10th Street,El Centro,CA,92243,,(442) 265-3200,(442) 265-3208,M-F 8am - 5pm,https://imperialcounty.org/veteran-services/,ca_06025
Inyo,Inyo-Mono County Veterans Service Office,Gordon Greene,Bishop,"1360 N Main St., suite 254",Bishop,CA,93514,,(760) 873-7850,(760) 872-1610,M-Th 7am - 5pm,https://www.inyocounty.us/services/veteran-services,ca_06027
Kern,Kern County Veterans Service Office,Jose Lopez,Bakersfield,1120 Golden State Ave,Bakersfield,CA,93301,,(661) 868-7300,(661) 631-0519,M-Th 8am - 5pm; F 8am - 12pm,https://www.kerncounty.com/government/veterans-service,ca_06029
Kings,Kings County Veterans Service Office,Codi Pennington,Kings County Government Center,"1400 W Lacey Blvd, Law Bldg # 4",Hanford,CA,93230,,(559) 852-2669,(559) 584-0438,M-F 8am - 5pm,https://www.countyofkingsca.gov/departments/general-services/veterans-services,ca_06031
Lake,Lake County Veterans Service Office,Saul Sanabria,Clearlake,15145 Lakeshore Dr,Clearlake,CA,95422,,,,"M,W 8am - 4:30pm",https://www.lakecountyca.gov/820/Veterans-Services,ca_06033
Lake,Lake County Veterans Service Office,Saul Sanabria,Lakeport,255 N. Forbes St,Lakeport,CA,95453,,(707) 263-2384,(707) 262-1861,M-F 8am - 12pm and 1pm - 5pm,https://www.lakecountyca.gov/820/Veterans-Services,ca_06033
Lassen,Lassen County Veterans Service Office,Chris Mancebo,Veterans Memorial Bldg,"1205 Main St, #101",Susanville,CA,96130,,(530) 251-8192,(530) 251-4901,M-F 8am - 4pm,https://co.lassen.ca.us/vso,ca_06035
Los Angeles,Los Angeles County Veterans Service Office,Jim Zenner,Headquarters - Bob Hope Patriotic Hall,1816 S. Figueroa St,Los Angeles,CA,90015,,,(213) 744-4444,M-TH 8am-4pm,https://mva.lacounty.gov/,ca_06037
Los Angeles,Los Angeles County Veterans Service Office,Jim Zenner,Long Beach VA Medical Center Veteran Resource Center,"5901 E. 7th St, Room 217",Long Beach,CA,90822,,(562) 826-8000,(562) 826-5284,M-Th 8am-4pm,https://mva.lacounty.gov/,ca_06037
Los Angeles,Los Angeles County Veterans Service Office,Jim Zenner,Sepulveda VA Ambulatory Care,"16111 Plummer St, Bldg 22, Room 219",Sepulveda,CA,91343,,(818) 891-7711,(818) 895-9493,M-F 8am - 4pm,https://mva.lacounty.gov/,ca_06037
Los Angeles,Los Angeles County Veterans Service Office,Jim Zenner,Sepulveda Veterans Center,"9737 Haskell, Suite 100",Sepulveda,CA,91343,,,(310) 641-9517,TH and F,https://mva.lacounty.gov/,ca_06037
Los Angeles,Los Angeles County Veterans Service Office,Jim Zenner,Temple St.,"351 East Temple St., Room B-307",Los Angeles,CA,90012,,,,,https://mva.lacounty.gov/,ca_06037
Los Angeles,Los Angeles County Veterans Service Office,Jim Zenner,West Covina,1427 West Covina Pkwy,West Covina,CA,91790,,,,,https://mva.lacounty.gov/,ca_06037
Los Angeles,Los Angeles County Veterans Service Office,Jim Zenner,West Los Angeles VA Medical Center,"11301 Wilshire Blvd, Bldg 402/2502",Los Angeles,CA,90073,,(310) 478-3711,,M and T 9am-4:30pm,https://mva.lacounty.gov/,ca_06037
Madera,Madera County Veterans Service Office,Joshua Christopherson,Madera,200 W. 4th St,Madera,CA,93637,,(559) 675-7766,(559) 675-7911,M-Th 8-4pm; Fri 8-12pm,https://www.maderacounty.com/government/veterans-service-office,ca_06039
Marin,Marin County Veterans Service Office,Sean Stephens,San Rafael,"10 N. San Pedro, Ste 1010",San Rafael,CA,94903,,(415) 473-6193,(415) 473-6465,M-Th 8:30am - 4pm,https://www.marinhhs.org/veterans-services,ca_06041
Mariposa,Mariposa County Veterans Service Office,Robert Johns,Mariposa,"5158 Highway 140, Suite A",Mariposa,CA,95338,veterans@mariposacounty.org,(209) 966-3696,(209) 742-7405,T-W 9am - 5pm,https://www.mariposacounty.org/138/Veterans-Services,ca_06043
Mendocino,Mendocino County Veterans Service Office,Ulyses Lopez,Fort Bragg,360 N. Harrison St,Fort Bragg,CA,95437,,(707) 964-5823,,M-TH 8am - 12pm and 1pm - 5pm,https://www.mendocinocounty.gov/departments/social-services/veterans-services,ca_06045
Mendocino,Mendocino County Veterans Service Office,Ulyses Lopez,Ukiah,405 Observatory Ave.,Ukiah,CA,95482,,(707) 463-4226,(707) 463-4637,8am-Noon & 1pm-5pm Mon-Thurs (excluding County holidays),https://www.mendocinocounty.gov/departments/social-services/veterans-services,ca_06045
Mendocino,Mendocino County Veterans Service Office,Ulyses Lopez,Willits,189 N. Main St,Willits,CA,95490,,(707) 463-4226,,Appointment Only,https://www.mendocinocounty.gov/departments/social-services/veterans-services,ca_06045
Merced,Merced County Veterans Service Office,Edward Skelton,Merced,1920 Customer Care Way,Atwater,CA,95301,,(209) 385-7588,(209) 725-3848,M-F 8am - 5pm,https://www.countyofmerced.com/2242/Merced-County-Veterans-Service-Office,ca_06047
Modoc,Modoc County Veterans Service Office,Harry Hitchings,Alturas,"202 4th St, Ste F",Alturas,CA,96101,,(530) 233-6209,(530) 233-3866,M-Th 9am - 4pm,https://www.co.modoc.ca.us/departments/veterans_services.php,ca_06049
Mono,Inyo-Mono County Veterans Service Office,Gordon Greene,Bishop,"1360 N Main St., suite 254",Bishop,CA,93514,,(760) 873-7850,(760) 872-1610,M-Th 7am - 5pm,https://www.inyocounty.us/services/veteran-services,ca_06051
Monterey,Monterey County Veterans Service Office,Jean-Jacques Murphy,Marina - Major General Gourley VA,201 9th street,Marina,CA,93933,,,,"Appointments Only Mon, Tue, and Wed; Walk-Ins Thur 8am to 12pm 1pm to 5pm; Closed Fridays",https://www.countyofmonterey.gov/government/departments-i-z/military-veterans#mva,ca_06053
Monterey,Monterey County Veterans Service Office,Jean-Jacques Murphy,Monterey,2620 1st Avenue,Marina,CA,93933,,(831) 647-7613,(831) 647-7618,"M,W,TH Appointments, Walk-in Tuesday 8am-12pm and 1pm-5pm, Closed Friday",https://www.countyofmonterey.gov/government/departments-i-z/military-veterans#mva,ca_06053
Monterey,Monterey County Veterans Service Office,Jean-Jacques Murphy,Salinas,730 LaGuardia,Salinas,CA,93901,,(831) 647-7613,,"M,T,TH Appointments, Walk-in Wednesday 8:30am-12pm and 1pm-4:30pm, Closed Friday",https://www.countyofmonterey.gov/government/departments-i-z/military-veterans#mva,ca_06053
Napa,Napa County Veterans Service Office,Dell Pratt,Napa,650 Imperial Way,Napa,CA,94559,,(707) 253-4558,(707) 299-1489,M-F 7am - 4pm,https://www.countyofnapa.org/203/Veterans-Services,ca_06055
Nevada,Nevada County Veterans Service Office,David O. West II,Grass Valley,988 McCourtney Road,Grass Valley,CA,95949,,(530) 265-1446,(530) 272-3182,M-F 8am-12pm & 1pm - 5pm,https://nevadacountyca.gov/976/Veterans-Services,ca_06057
Orange,Orange County Veterans Service Office,Eric Ensley,Santa Ana,"1300 S. Grand Ave, Bldg B, 2nd Flr",Santa Ana,CA,92705,,(714) 480-6555,(714) 567-7577,"M,W,TH,F 8am - 4pm; T 9:30am - 4pm",https://veterans.ocgov.com/,ca_06059
Placer,Placer County Veterans Service Office,Steve Johnson,Auburn,11434 B Avenue,Auburn,CA,95603,,,,"Tues 8am-12pm, 1pm-5pm",https://www.placer.ca.gov/1875/Veterans,ca_06061
Placer,Placer County Veterans Service Office,Steve Johnson,Carnelian Bay,5525 N Lake Blvd,Carnelian Bay,CA,96140,,,,"Third Friday each month, 9:30am to 3pm",https://www.placer.ca.gov/1875/Veterans,ca_06061
Placer,Placer County Veterans Service Office,Steve Johnson,Rocklin,"1000 Sunset Blvd, Ste 115",Rocklin,CA,95765,,(916) 780-3290,(916) 780-3299,M-F 8am - 12pm and 1pm - 5pm,https://www.placer.ca.gov/1875/Veterans,ca_06061
Plumas,Plumas County Veterans Service Office,Michael Tortora,Quincy,"270 County Hospital Rd, # 206",Quincy,CA,95971,,(530) 283-6275,(530) 283-6425,,https://www.plumascounty.us/96/Veterans-Services,ca_06063
Riverside,Riverside County Veterans Service Office,Adam French,Hemet,"880 N. State St, Suite B1",Hemet,CA,92543,,(951) 955-3060,,"M-TH 8am - 4pm, F 8am - 12pm",https://rivcoveterans.org/,ca_06065
Riverside,Riverside County Veterans Service Office,Adam French,Indio,"44-199C Monroe St, Suite 420B",Indio,CA,92201,,(951) 955-3060,,"M-TH 8am - 4pm, F 8am - 12pm",https://rivcoveterans.org/,ca_06065
Riverside,Riverside County Veterans Service Office,Adam French,Riverside,4360 Orange Street,Riverside,CA,92501,,(951) 955-3060,,"M-TH 8am - 4pm, F 8am - 12pm",https://rivcoveterans.org/,ca_06065
Riverside,Riverside County Veterans Service Office,Adam French,Temecula,"43200 Business Park Dr., Suite 215",Temecula,CA,92590,,(951) 955-3060,,"M-TH 8am - 4pm, F 8am - 12pm",https://rivcoveterans.org/,ca_06065
Sacramento,Sacramento County Veterans Service Office,Rochelle Arnold,Sacramento,3970 Research Drive,Sacramento,CA,95838,,(916) 874-6811,(916) 854-8900,M-TH 8am - 4pm; F 9:30am - 2pm,https://ha.saccounty.gov/benefits/VeteransServices/Pages/VeteranHome.aspx,ca_06067
San Benito,San Benito County Veterans Service Office,Jean-Jacques Murphy,Hollister,649 San Benito St.,Hollister,CA,95023,,(831) 647-7613,(831) 647-7618,"Appointments Only Thursday; Walk-Ins Mon-Wed 8am to 12pm, 1pm-5pm; Closed Fridays",https://www.sanbenitocountyca.gov/services/community/veterans-services,ca_06069
San Bernardino,San Bernardino County Veterans Service Office,Matt Knox,Hesperia,15900 Smoke Tree St,Hesperia,CA,92345,,(760) 995-8010,(760) 947-2627,M-Th and every other Friday 8:00am - 4:00pm,https://va.sbcounty.gov/,ca_06071
San Bernardino,San Bernardino County Veterans Service Office,Matt Knox,Rancho Cucamonga,"8575 Haven Ave., Suite 160",Rancho Cucamonga,CA,91730,,(909) 948-6470,(909) 948-6475,M-Th 8:00am - 4:00pm,https://va.sbcounty.gov/,ca_06071
San Bernardino,San Bernardino County Veterans Service Office,Matt Knox,San Bernardino,"222 Hospitality Lane, 3rd Flr",San Bernardino,CA,92415,,(909) 382-3290,(909) 382-3289,M-F 8am - 4pm,https://va.sbcounty.gov/,ca_06071
San Diego,San Diego County Veterans Service Office,Ray Flores,Escondido Military & Veterans Resource Center,649 W. Mission Ave,Escondido,CA,92025,,(866) 726-8831,,M-F 8-5,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/ssp/veterans_services.html,ca_06073
San Diego,San Diego County Veterans Service Office,Ray Flores,National City Military & Veterans Resource Center,401 Mile of Cars Way,National City,CA,91950,,,,M-F 8am - 5pm,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/ssp/veterans_services.html,ca_06073
San Diego,San Diego County Veterans Service Office,Ray Flores,Oceanside Military & Veterans Resource Center,"3708 Ocean Ranch Blvd, suite 110",Oceanside,CA,92056,,(866) 726-8831,,M-F 8-5,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/ssp/veterans_services.html,ca_06073
San Diego,San Diego County Veterans Service Office,Ray Flores,Office of Military & Veterans Affairs HQ,5055 Ruffin Rd.,San Diego,CA,92123,,(866) 726-8831,,M-F 8-5,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/ssp/veterans_services.html,ca_06073
San Francisco,San Francisco County Veterans Service Office,Gerardo Carr,San Francisco,2 Gough St.,San Francisco,CA,94103,,(415) 934-4200,(415) 934-4240,M-F 9am - 12pm & 1pm - 4pm,https://www.sfhsa.org/services/disability-aging-services/county-veterans-service-office-cvso,ca_06075
San Joaquin,San Joaquin County Veterans Service Office,Jose Garcia,Stockton,6221 West Lane,Stockton,CA,95210,,(209) 468-2916,(209) 468-2918,M-F 8am - 5pm,https://www.sjgov.org/department/hcs/departments/veterans-services,ca_06077
San Luis Obispo,San Luis Obispo County Veterans Service Office,Morgan Boyd,San Luis Obispo,801 Grand Ave,San Luis Obispo,CA,93408,,(805) 781-5766,,M-F 9am - 5pm,https://www.slocounty.ca.gov/departments/veterans-services/,ca_06079
San Mateo,San Mateo County Veterans Service Office,Ed Kiryczun,San Carlos,550 Quarry Road,San Carlos,CA,94070,,(650) 802-6598,,M-TH 8am - 4pm; F 8am - 1pm appointment only,https://www.smcgov.org/hsa/veterans-services-office,ca_06081
Santa Barbara,Santa Barbara County Veterans Service Office,Rhonda Murphy,Lompoc,"401 E Cypress, Room 101",Lompoc,CA,93436,,,,M-F 8am-12pm and 1pm - 5pm,https://www.countyofsb.org/421/Veterans-Services,ca_06083
Santa Barbara,Santa Barbara County Veterans Service Office,Rhonda Murphy,Santa Barbara,"315 Camino Del Remedio, Bldg 2 Room 251",Santa Barbara,CA,93110,,(805) 681-4500,(805) 681-4501,M-F 8am - 12pm & 1pm - 5pm,https://www.countyofsb.org/421/Veterans-Services,ca_06083
Santa Barbara,Santa Barbara County Veterans Service Office,Rhonda Murphy,Santa Maria,"624 W Foster Rd, Suite A",Santa Maria,CA,93455,,(805) 346-7160,(805) 346-7158,M-F 8am - 12pm and 1pm - 5pm,https://www.countyofsb.org/421/Veterans-Services,ca_06083
Santa Clara,Santa Clara County Veterans Service Office,Darlyn Escalante,Santa Clara,68 N. Winchester Blvd,Santa Clara,CA,95050,,(408) 918-4980,(408) 553-6016,M-F 9am - 12pm & 1pm - 4pm,https://vets.santaclaracounty.gov/home,ca_06085
Santa Cruz,Santa Cruz County Veterans Service Office,Andre Samayoa,Santa Cruz,842 Front St,Santa Cruz,CA,95060,,(831) 454-7276,(831) 458-7116,"M-Th 8am-12pm & 1-5pm; Walk-in Hours: Mon, Tues, Thurs, 1-5pm and Wednesday all-day",https://santacruzhumanservices.org/AdultLongTermCare/VeteransServices/VeteransServicesOffice,ca_06087
Santa Cruz,Santa Cruz County Veterans Service Office,Andre Samayoa,Watsonville,18 W. Beach St,Watsonville,CA,95076,,(831) 763-8868,(831) 763-8906,M-Th 8am-12pm & 1-5pm (by appointment only),https://santacruzhumanservices.org/AdultLongTermCare/VeteransServices/VeteransServicesOffice,ca_06087
Shasta,Shasta County Veterans Service Office,Troy Payne,Redding,1855 Shasta St,Redding,CA,96001,,(530) 225-5616,(530) 245-6454,"M, F 8am - 11:30am and 1:00pm - 4pm",https://www.shastacounty.gov/veterans,ca_06089
Sierra,Sierra County Veterans Service Office,Vacant,Loyalton,706 Mill Street,Loyalton,CA,96118,,,,,,ca_06091
Siskiyou,Siskiyou County Veterans Service Office,Thomas Jackson,Yreka,105 E. Oberlin Rd,Yreka,CA,96097,,(530) 842-8010,,M-Th 8am - 12pm & 1pm - 5pm,https://www.co.siskiyou.ca.us/sheriff/page/veterans-services,ca_06093
Solano,Solano County Veterans Service Office,Alfred Sims,Fairfield,"675 Texas St, Ste 4700",Fairfield,CA,94533,,(707) 784-6590,(707) 784-0927,M-F 9am - 12pm & 1pm - 4pm,https://www.solanocounty.com/depts/veterans/veterans.asp,ca_06095
Sonoma,Sonoma County Veterans Service Office,Mark G. Orlando,Santa Rosa,"3725 Westwind Blvd, Ste 100",Santa Rosa,CA,95402,,(707) 565-5960,(707) 565-5937,M-F 8am - 5pm,https://sonomacounty.ca.gov/health-and-human-services/human-services/veterans,ca_06097
Stanislaus,Stanislaus County Veterans Service Office,Ryan Kegley,Modesto,"3500 Coffee Road, Ste 19",Modesto,CA,95355,,(209) 558-7380,(209) 558-8646,M-F 8am - 4:30pm,https://www.stancounty.com/vets/,ca_06099
Sutter,Yuba-Sutter County Veterans Service Office,Joel Ceja,Marysville,"5730 Packard Ave, Ste 300",Marysville,CA,95901,,(530) 749-6710,(530) 749-6711,M-F 8am - 5pm,https://www.suttercounty.org/government/county-departments/veteran-services,ca_06101
Tehama,Tehama County Veterans Service Office,Shawn Bondon,Corning Veterans Memorial Hall,1620 Solano St.,Corning,CA,96021,,,,Open every Tuesday from 9am to 11am,https://www.tehama.gov/government/departments/veterans-services/,ca_06103
Tehama,Tehama County Veterans Service Office,Shawn Bondon,Los Molinos Government Center,7883 Hwy 99 E.,Los Molinos,CA,96055,,,,1st and 3rd M of every month from 9am - 11am,https://www.tehama.gov/government/departments/veterans-services/,ca_06103
Tehama,Tehama County Veterans Service Office,Shawn Bondon,Red Bluff,"444 Oak Street, Room C",Red Bluff,CA,96080,,(530) 529-3664,(530) 529-3659,"M-Th 8am-12pm, 1pm-4pm",https://www.tehama.gov/government/departments/veterans-services/,ca_06103
Trinity,Trinity County Veterans Service Office,Jennifer Dobbs,VFW Hall,9201 Highway 3,Hayfork,CA,96041,,,,2nd Thursday and 4th Tuesday by appointment only,https://www.trinitycounty.org/440/Veteran-Services,ca_06105
Trinity,Trinity County Veterans Service Office,Jennifer Dobbs,Weaverville,61B Airport Rd.,Weaverville,CA,96093,,(530) 623-3975,,M-TH 10am - 4pm,https://www.trinitycounty.org/440/Veteran-Services,ca_06105
Tulare,Tulare County Veterans Service Office,Cecil Webster,Visalia,3348 W. Mineral King Ave.,Visalia,CA,93291,,(559) 713-2880,(559) 749-9803,M-Th 7:30am - 5pm; F 8am - 12pm,https://tchhsa.org/eng/human-services/veterans-services-office-vso/,ca_06107
Tuolumne,Tuolumne County Veterans Service Office,Kristopher Albrecht,Sonora,105 Hospital Rd,Sonora,CA,95370,,(209) 533-6280,(209) 533-6284,M-F 9am - 12pm & 1pm - 4pm; by appointment only,https://www.tuolumnecounty.ca.gov/447/Veterans-Service-Office,ca_06109
Ventura,Ventura County Veterans Service Office,Jim McHugh,Camarillo,4001 Mission Oaks Boulevard,Camarillo,CA,93012,,,,Wednesdays 8:00am to 4:00pm,https://www.ventura.org/human-services-agency/veteran-services/,ca_06111
Ventura,Ventura County Veterans Service Office,Jim McHugh,Oxnard,"2000 Outlet Center Dr., Suite C-220",Oxnard,CA,93036,,(805) 477-5155,(805) 477-5418,M-F 8am - 5pm,https://www.ventura.org/human-services-agency/veteran-services/,ca_06111
Ventura,Ventura County Veterans Service Office,Jim McHugh,Simi Valley,"2900 N. Madera Road, Suite 100",Simi Valley,CA,93065,,,,Wednesday 8:00am to 4:00pm EXCEPT the first Wed. of the month,https://www.ventura.org/human-services-agency/veteran-services/,ca_06111
Yolo,Yolo County Veterans Service Office,Salvador Torres,Woodland,137 N. Cottonwood St,Woodland,CA,95695,,(530) 406-4850,(530) 666-7456,M-TH 7:30am - 12pm & 1pm - 4pm; F 7:30am to 12pm,https://www.yolocounty.gov/government/general-government-departments/health-human-services/adults/veterans-service-office,ca_06113
Yuba,Yuba-Sutter County Veterans Service Office,Joel Ceja,Marysville,"5730 Packard Ave, Ste 300",Marysville,CA,95901,,(530) 749-6710,(530) 749-6711,M-F 8am - 5pm,https://www.suttercounty.org/government/county-departments/veteran-services,ca_06115
