County,Office_Name,Street_Address,City,State,Zip,Email,Office_Phone,Website,geo_tag
Emmet,Emmet County Veterans Affairs,508 S 1st St.,Estherville,IA,51334,cross@emmetcountyia.gov,712-362-7431,https://emmetcountyia.gov/county-offices/veteran-affairs/,ia_19063
Fayette,Fayette County Veterans Affairs,"102 S Frederick Ave, Suite 1",Oelwein,IA,50662,va@fayetteva.net,319-283-3329,https://fayettecounty.iowa.gov/departments/veterans-affairs/,ia_19065
Floyd,Floyd County Veterans Affairs,"101 S. Main Street, Suite 109",Charles City,IA,50616,tschriever@floydcoia.org,641-228-1850,http://www.floydcoia.org/153/Veterans-Affairs,ia_19067
Franklin,Franklin County Veterans Affairs,1600 Central Ave E,Hampton,IA,50441,aakers@co.franklin.ia.us,641-456-5670,https://www.franklincountyia.gov/departments/veterans_affairs/index.php,ia_19069
Fremont,Fremont County Veterans Affairs,414 Clay Street,Sidney,IA,51652,mstockstell@co.fremont.ia.us,712-374-2275,https://www.fremontcountyia.gov/vnews/display.v/SEC/County%7CVeterans%20Affairs,ia_19071
Greene,Greene County Veterans Affairs,114 N. Chestnut,Jefferson,IA,50129,bdaves@greenecounty.iowa.gov,515-386-5673,https://greenecounty.municipalcms.com/pview.aspx?id=15573&amp;catID=659,ia_19073
Grundy,Grundy County Veterans Affairs,"706 H Avenue, Suite 3",Grundy Center,IA,50638,mbierl@greenecounty.iowa.gov,319-825-4952,https://www.grundycountyiowa.gov/departments/veteran-affairs,ia_19075
Guthrie,Guthrie County Veterans Affairs,200 N. 5th St.,Guthrie Center,IA,50115,b.watson@guthriecounty.gov,641-747-2546,https://guthriecounty.gov/government/county-offices/veterans-affairs/,ia_19077
Hamilton,Hamilton County Veterans Affairs,"1610 Collins St, Ste 2",Webster City,IA,50595,veterans@hamiltoncounty.org,515-832-9595,http://www.hamiltoncounty.org/departments/veteran_s_affairs/index.php,ia_19079
Hancock,Hancock County Veterans Affairs,545 State Street,Garner,IA,50438,james.welsh@hancockcountyia.org,641-923-4427,https://hancockcountyia.gov/veterans-service-officer/,ia_19081
Hardin,Hardin County Veterans Affairs,1201 14th Avenue,Eldora,IA,50627,jbuck@hardincountyia.gov,641-939-8240,https://www.hardincountyia.gov/veterans-services-programs,ia_19083
Harrison,Harrison County Veterans Affairs,"116 N 2nd Ave, PO Box 31",Logan,IA,51546,va@harrisoncounty.iowa.gov,712-644-2760,https://harrisoncounty.iowa.gov/veterans-affairs/,ia_19085
Henry,Henry County Veterans Affairs,106 E Clay St.,Mt. Pleasant,IA,52641,rpittsenbarger@henrycountyiowa.us,319-385-0792,https://henrycounty.iowa.gov/veterans-affairs/,ia_19087
Howard,Howard County Veterans Affairs,137 N. Elm St.,Cresco,IA,52136,mrogne@howardcounty.iowa.gov,563-547-9212,https://howardcounty.iowa.gov/veterans-affairs/,ia_19089
Humboldt,Humboldt County Veterans Affairs,203 Main St.,Humboldt,IA,50548,veteranaffairs@humboldtcounty.iowa.gov,515-604-6256,https://www.humboldtcountyia.org/offices/services/veterans_affairs/index.php,ia_19091
Ida,Ida County Veterans Affairs,401 Moorehead St.,Ida Grove,IA,51445,dullrich@idacountyia.us,712-364-4176,https://idacounty.iowa.gov/detail/ida-county-veteran-affairs-director/,ia_19093
Iowa,Iowa County Veterans Affairs,"970 Court Avenue, Courthouse",Marengo,IA,52301,jolson@iowacounty.iowa.gov,319-642-3925,https://iowacounty.iowa.gov/veterans-affairs/,ia_19095
Jackson,Jackson County Veterans Affairs,311 W. Platt St,Maquoketa,IA,52060,reltrich@jacksoncounty.iowa.gov,563-652-0070,https://jacksoncounty.iowa.gov/veterans-affairs/,ia_19097
Jasper,Jasper County Veterans Affairs,"315 W 3rd St N, Ste 250",Newton,IA,50208,va@jasperia.org,641-792-7993,https://www.jasperia.org/veterans_affairs/,ia_19099
Jefferson,Jefferson County Veterans Affairs,51 E. Briggs Avenue,Fairfield,IA,52556,VA51@jeffersoncountyia.com,641-472-3013,http://www.jeffersoncountyiowa.com/vets.htm,ia_19101
Johnson,Johnson County Veterans Affairs,"855 S. Dubuque St., Suite 109C",Iowa City,IA,52240,va@johnsoncountyiowa.gov,319-356-6049,https://www.johnsoncountyiowa.gov/department-of-veterans-affairs,ia_19103
Jones,Jones County Veterans Affairs,"105 Broadway Place, Suite 13",Anamosa,IA,52205,susan.yario@jonescountyiowa.gov,319-462-5311,http://www.jonescountyiowa.org/veterans-affairs,ia_19105
Keokuk,Keokuk County Veterans Affairs,"101 S. Main Street, Courthouse",Sigourney,IA,52591,mherman@keokukcounty.iowa.gov,641-622-2761,https://keokukcounty.iowa.gov/business/veterans-affairs,ia_19107
Kossuth,Kossuth County Veterans Affairs,"109 W. State Street, Courthouse",Algona,IA,50511,dgreen@kossuthcounty.iowa.gov,515-295-9036,https://www.kossuthcounty.iowa.gov/veteran-affairs/,ia_19109
Lee,Lee County Veterans Affairs,701 Ave F,Fort Madison,IA,52627,va@leecountyiowa.gov,319-372-5853,https://www.leecounty.org/pview.aspx?id=20855&amp;catid=25,ia_19111
Linn,Linn County Veterans Affairs,1240 26th Avenue Court SW,Cedar Rapids,IA,52404,veteran@linncountyiowa.gov,319-892-5160,http://www.linncounty.org/154/Veteran-Affairs,ia_19113
Louisa,Louisa County Veterans Affairs,"503 Franklin St., Suite #2",Wapello,IA,52653,lcva@louisacountyia.gov,319-527-6513,https://louisacountyia.gov/government/departments-g-z/louisa-county-veteran-affairs/,ia_19115
Lucas,Lucas County Veterans Affairs,123 S. Grand St.,Chariton,IA,50049,amosd@lucasco.org,641-774-4611,https://lucascounty.iowa.gov/veterans_affairs/,ia_19117
Lyon,Lyon County Veterans Affairs,"300 S. 4th Avenue, Suite 100",Rock Rapids,IA,51246,veterans@co.lyon.ia.us,712-472-3405,https://lyoncounty.iowa.gov/veterans_service_office/,ia_19119
Madison,Madison County Veterans Affairs,"209 E Madison St,",Winterset,IA,50273,tsmith@madisoncounty.iowa.gov,515-462-4680,https://madisoncounty.iowa.gov/offices/veterans-affairs/,ia_19121
Mahaska,Mahaska County Veterans Affairs,"106 S. 1st Street, Suite 2",Oskaloosa,IA,52577,veteran@mahaskacountyia.gov,641-673-7727,https://www.mahaskacountyia.gov/veterans_affairs/,ia_19123
Marion,Marion County Veterans Affairs,"214 E. Main St, 1st Floor, Courthouse",Knoxville,IA,50138,rbandstra@marioncountyiowa.gov,641-828-2201,https://www.marioncountyiowa.gov/veterans_affairs/,ia_19125
Marshall,Marshall County Veterans Affairs,101 E Main St,Marshalltown,IA,50158-5485,va@marshallcountyia.gov,641-754-6335,https://www.marshallcountyia.gov/450/Veteran-Affairs,ia_19127
Mills,Mills County Veterans Affairs,"403 Railroad Avenue, PO Box 247",Glenwood,IA,51534,va@millscountyiowa.gov,712-527-5621,https://www.millscountyiowa.gov/247/Veterans-Affairs,ia_19129
Mitchell,Mitchell County Veterans Affairs,212 S. 5th St,Osage,IA,50461,lklemesrud@mitchellcoia.us,641-832-2920,https://mitchellcounty.iowa.gov/departments/veterans-affairs-director/,ia_19131
Monona,Monona County Veterans Affairs,610 Iowa Avenue,Onawa,IA,51040,mocovamw@mononacounty.org,712-433-3710,https://mononacountyiowa.gov/veterans_affairs/,ia_19133
Monroe,Monroe County Veterans Affairs,1801 S. “B” Street,Albia,IA,52531,cgray@monroecounty.iowa.gov,641-932-5622,https://monroecounty.iowa.gov/offices/veterans-affairs/,ia_19135
Montgomery,Montgomery County Veterans Affairs,105 E. Coolbaugh St,Red Oak,IA,51566,va@montgomerycountyia.gov,712-623-3180,https://www.montgomerycountyia.gov/pview.aspx?id=56384&amp;catid=45,ia_19137
Muscatine,Muscatine County Veterans Affairs,"315 Iowa Ave, Suite 1",Muscatine,IA,52761,va@muscatinecountyiowa.gov,563-262-4162,https://www.muscatinecountyiowa.gov/429/Veteran-Affairs,ia_19139
O'Brien,O'Brien County Veterans Affairs,"155 S. Hayes Ave, PO Box 97",Primghar,IA,51245,bbarrett@obriencounty.iowa.gov,712-957-0031,https://www.obriencounty.org/departments/veterans-affairs/,ia_19141
Osceola,Osceola County Veterans Affairs,300 7th Street,Sibley,IA,51249,bdake@osceolacoia.org,712-754-2514,https://osceolacountyia.gov/departments/veterans-affairs/,ia_19143
Page,Page County Veterans Affairs,615 Northwest Rd,Shenandoah,IA,51601,pagecova@co.page.ia.us,712-246-4254,https://pagecounty.iowa.gov/offices/veterans-affairs/,ia_19145
Palo Alto,Palo Alto County Veterans Affairs,1010 Broadway,Emmetsburg,IA,50536,vmerwald@paloaltocounty.iowa.gov,712-852-2066,https://paloaltova.com/,ia_19147
Plymouth,Plymouth County Veterans Affairs,"215 - 4th Ave SE, Courthouse",Le Mars,IA,51031,plycova@plymouthcountyiowa.gov,712-546-7090,https://plymouthcountyiowa.gov/departments/veteran-affairs/,ia_19149
Pocahontas,Pocahontas County Veterans Affairs,"99 Court Square, #1",Pocahontas,IA,50574,ocressler@pocahontascounty.iowa.gov,712-335-3270,https://pocahontascounty.iowa.gov/veterans-affairs/,ia_19151
Polk,Polk County Veterans Affairs,2309 Euclid Avenue,Des Moines,IA,50310,veterans.affairs@polkcountyiowa.gov,515-286-3670,https://www.polkcountyiowa.gov/veteran-affairs/,ia_19153
Pottawattamie,Pottawattamie County Veterans Affairs,623 6th Ave,Council Bluffs,IA,51501,veterans@pottcounty-ia.gov,712-328-5797,https://www.pottcounty-ia.gov/veterans_service_office/,ia_19155
Poweshiek,Poweshiek County Veterans Affairs,"200 4th Avenue W, Lower Level",Grinnell,IA,50112,powcovet@poweshiekcounty.org,641-236-5722,https://poweshiekcounty.org/veterans_affairs/,ia_19157
Ringgold,Ringgold County Veterans Affairs,"109 W. Madison, Suite 103",Mount Ayr,IA,50854,veteransaffairs@ringgoldcounty.us,641-464-2397,https://www.ringgoldcounty.iowa.gov/departments/veterans_affairs/index.php,ia_19159
Sac,Sac County Veterans Affairs,"100 W. State St, PO Box # 5",Sac City,IA,50583,lkluver@saccounty.org,712-662-4552,https://www.saccountyiowa.gov/veteran-affairs.html,ia_19161
Scott,Scott County Veterans Affairs,600 W. 4th Street,Davenport,IA,52801,benjamin.enlow@scottcountyiowa.gov,563-326-8723,https://www.scottcountyiowa.gov/community/veteran-affairs-commission,ia_19163
Shelby,Shelby County Veterans Affairs,612 Court St,Harlan,IA,51537,veterans@shelbycounty.iowa.gov,712-755-3907,https://shelbycounty.iowa.gov/departments/veteran-services,ia_19165
Sioux,Sioux County Veterans Affairs,213 Central Ave SE,Orange City,IA,51041,vets@siouxcounty.org,712-737-1775,https://siouxcountyia.gov/veterans-affairs/,ia_19167
Story,Story County Veterans Affairs,"126 South Kellogg Ave, Suite 001",Ames,IA,50010,veteransaffairs@storycountyiowa.gov,515-956-2626,https://www.storycountyiowa.gov/114/Veterans-Affairs,ia_19169
Tama,Tama County Veterans Affairs,219 West High Street,Toledo,IA,52342,eledvina@tamacounty.org,641-484-3160,https://www.tamacounty.iowa.gov/veterans_affairs/,ia_19171
Taylor,Taylor County Veterans Affairs,"305 Main Street, American Legion Bldg",Bedford,IA,50833,taylorcova@mchsi.com,712-523-2766,https://www.taylorcounty.iowa.gov/,ia_19173
Union,Union County Veterans Affairs,"300 N. Pine St, Suite 130",Creston,IA,50801,unioncova@unioncountyiowa.gov,641-782-1723,https://unioncountyiowa.gov/departments/veterans-affairs/,ia_19175
Van Buren,Van Buren County Veterans Affairs,"404 Dodge St., Courthouse",Keosauqua,IA,52565,bwinslow@vanburencounty.iowa.gov,319-293-3793,https://www.vanburencounty.iowa.gov/offices/services/veterans_affairs.php,ia_19177
Wapello,Wapello County Veterans Affairs,"114 E. Main Street, PO Box 554",Ottuma,IA,52501,rdolley@wapellocounty.org,641-684-8079,https://www.wapellocounty.org/veteran_affairs/,ia_19179
Warren,Warren County Veterans Affairs,"301 N Buxton St, Ste 107",Indianola,IA,50125,va@warrencountyia.org,515-690-9334,https://www.warrencountyia.gov/government/county-government/veterans-affairs/,ia_19181
Washington,Washington County Veterans Affairs,"2175 Lexington, Bldg, #2",Washington,IA,52353,srich@washingtoncounty.iowa.gov,319-653-7768,https://washingtoncounty.iowa.gov/181/Veterans-Affairs,ia_19183
Wayne,Wayne County Veterans Affairs,100 N. Lafayette,Corydon,IA,50060,jperry@waynecountyia.org,641-872-3943,https://waynecountyveteransaffairs.com/,ia_19185
Webster,Webster County Veterans Affairs,723 1st Avenue S,Fort Dodge,IA,50501,wcva@webstercountyia.gov,515-573-1479,https://www.webstercountyia.gov/departments/veteran_affairs.php,ia_19187
Winnebago,Winnebago County Veterans Affairs,723 1st Avenue S,Forest City,IA,50436,veterans@winnebagocountyiowa.gov,641-585-5736,https://www.winnebagocountyiowa.gov/veterans_affairs/,ia_19189
Winneshiek,Winneshiek County Veterans Affairs,201 West Main,Decorah,IA,52101,veterans@co.winneshiek.ia.us,563-382-5786,https://winneshiekcounty.iowa.gov/departments/veterans,ia_19191
Woodbury,Woodbury County Veterans Affairs,"1211 Tri View Avenue, Ste A",Sioux City,IA,51103,lkuhlmann@woodburycountyiowa.gov,712-279-6605,https://www.woodburycountyiowa.gov/veteran_affairs/,ia_19193
Worth,Worth County Veterans Affairs,1000 Central Avenue,Northwood,IA,50459,tom.reid@worthcounty.org,641-324-0480,https://worthcountyiowa.gov/veterans_affairs/,ia_19195
Wright,Wright County Veterans Affairs,"120 1st Avenue NW, Suite 3",Clarion,IA,50525,coliver@wrightco.iowa.gov,515-602-6208,https://www.wrightcounty.iowa.gov/departments/veterans_affairs.php,ia_19197
