Name,County,Address,Phone,Email,Hours,Officer,Organization_Type,geo_tag
Calhoun County - Battle Creek VA Medical Center,Calhoun,"5500 Armstrong Road, Battle Creek, MI 49037",269-966-5600,andrew.ferguson@va.gov,"Monday, 2nd & 4th Tuesday, Wednesday & Thursday, 6:00 a.m. - 4:30 p.m.","Preston Russell, Accredited",VIETNAM VETERANS OF AMERICA - VETERAN SERVICE OFFICER,mi_26025
Oakland County - Holly Area Veteran Resource Center,Oakland,"1006 N Saginaw Rd, Suite C, Holly, MI 48442",810-623-8002,katrina.gramer@va.gov,"Monday - Thursday, 8:00 a.m. - 4:00 p.m.","Katrina Gramer, Accredited",VIETNAM VETERANS OF AMERICA - VETERAN SERVICE OFFICER,mi_26125
Genesee County - Flint CBOC,Genesee,"G-2360 S. Linden Road, Flint, MI 48505",989-854-4121,,"Tuesday and Wednesday, 8:00 a.m. &ndash; 4:00 p.m.","Robert Neal, Accredited",VIETNAM VETERANS OF AMERICA - VETERANS SERVICE OFFICER,mi_26049
Montcalm County Department of Veterans Affairs,Montcalm,"211 W. Main St., Stanton, MI 48888",989-831-7477,twright@montcalm.us,"Monday - Friday, 8:00 a.m. - 4:00 p.m.","Indira Smith, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26117
Genesee County Department of Veterans Services,Genesee,"324 S. Saginaw St, Suite 7D, Flint, MI 48502-1417",810-257-3068,cwagner@geneseecountymi.gov,"Monday - Friday, 8:00 a.m. - 5:00 p.m.","Chad Parenteau, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26049
Kent County - American Legion Post 305,Kent,"9548 Cherry Valley Ave. SE, Caledonia, MI 49316",616-891-1882,pbreas@michiganlegion.org,"2nd and 4th Friday, 8:30 a.m. - 4:30 p.m.","Patty Breas, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26081
Washtenaw County - Ann Arbor VA Medical Center,Washtenaw,"2215 Fuller Road, Ann Arbor, MI 48105",734-769-7100,bbrooks@milegionfoundation.onmicrosoft.com,"Monday, 12:00 p.m. - 3:30 p.m. & Tuesday, Thursday, Friday, 7:30 a.m. - 3:30 p.m.","Betty Srivastava, Accredited",VIETNAM VETERANS OF AMERICA - VETERAN SERVICE OFFICER,mi_26161
Washtenaw County Department of Veterans Affairs,Washtenaw,"2155 Hogback Road, Ann Arbor, MI 48105, &nbsp;",734-973-4540,saimsd@washtenaw.org,Monday - Thursday 7:30 a.m. - 12:00 p.m. and 1:00 p.m. - 6:30 p.m.,"Duane Weide, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26161
Kent County – Grand Rapids Vet Center,Kent,"2050 Breton Rd. SE, Grand Rapids, MI 49546",616-285-5795,pbreas@michiganlegion.org,"Tuesday - Wednesday, 9:00 a.m. - 5:00 p.m.","Patty Breas, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26081
Saginaw County Veteran Services,Saginaw,"1915 Fordney Street, Saginaw, MI 48601",989-753-7721,KNapoleon@MichiganLegion.org,"Monday - Friday, 10:00 a.m. - 3:00 p.m.","Kimberly Napoleon, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26145
Hillsdale County Department of Veterans Affairs,Hillsdale,"33 McCollum St., Room 108, Hillsdale, MI 49242",517-437-3630,r.shircliff@hillsdalecounty.gov,"Monday - Thursday, 8:00 a.m. - 3:00 p.m.","Dolly Leaders, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26059
Kent County - Hero&#39;s Corner,Kent,"4809 Eastern Ave. SE, Kentwood, MI 49508",616-268-8073,pbreas@michiganlegion.org,"3rd Friday, 9:00 a.m. - 4:00 p.m.","Amber Henderson, Accredited",DISABLED AMERICAN VETERANS - VETERAN SERVICE OFFICERS,mi_26081
Branch County Department of Veterans Affairs,Branch,"570 Marshall Road, Suite F, Coldwater, MI 49036",517-279-4322,neasterling@branchcounty.gov,"Monday - Friday, 7:00 a.m. - 3:00 p.m.","Joshua Clark, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26023
Saginaw County VA Medical Center,Saginaw,", 1500 Weiss Street, Saginaw MI 48602",989-497-2500,simpkinst@michiganlegion.org,"Monday - Thursday, 9:00 a.m. - 4:00 p.m.","Robert Neal, Accredited",VIETNAM VETERANS OF AMERICA - VETERANS SERVICE OFFICERS,mi_26145
Kent County Veterans Services,Kent,"836 Fuller Ave. NE, Grand Rapids, MI 49503",616-632-5722,ryan.grams@kentcountymi.gov,"Monday - Friday, 8:00 a.m. - 5:00 p.m.","Jeremy Binder, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26081
Kent County – Trinity Health,Kent,"200 Jefferson Ave. SE, Grand Rapids, MI 49503",517-898-4720,RameyA1@michigan.gov,"Monday - Thursday, 8:00 a.m. - 5:00 p.m.","Austin Ramey, Accredited",MICHIGAN VETERANS AFFAIRS AGENCY - VETERAN SERVICE OFFICER,mi_26081
Kent County – 62A District Court,Kent,"2650 De Hoop Ave. SW, Wyoming, MI 49509, &nbsp;",616-257-9836,pbreas@michiganlegion.org,"1st & 3rd Monday, 8:00 a.m. - 4:00 p.m.","Patty Breas, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26081
Kent County - Wyoming CBOC,Kent,"5838 Metro Way SW, Wyoming, MI 49515",616-249-5300,pbreas@michiganlegion.org,"Thursday, 8:00 a.m. - 4:00 p.m.","Dalton Quist, Accredited",DISABLED AMERICAN VETERANS - VETERAN SERVICE OFFICERS,mi_26081
Kent County - VFW Post 830,Kent,"557 11th St NW, Grand Rapids, MI 49504",313-529-2746,pbreas@michiganlegion.org,"Monday - Thursday, 7:00 a.m. - 5:00 p.m.","David Moler, Accredited",david.moler@va.gov,mi_26081
Saginaw County Vet Center,Saginaw,"5360 Hampton Place, Suite 200, Saginaw, MI 48604",586-839-5054,Tracy.Desjarlais@va.gov,"Monday - Tuesday, 8:00 a.m. - 4:30 p.m.","Tracy DesJarlais, Accredited",DISABLED AMERICAN VETERANS - VETERAN SERVICE OFFICER,mi_26145
Kalamazoo County - VFW Post 827,Kalamazoo,"562 Portage Street, Kalamazoo, MI 49007",313-712-0406,glenn.whitt@va.gov,"2nd Monday, 8:00 a.m. - 4:00 p.m.","Glenn Whitt, Accredited",VETERANS OF FOREIGN WARS - VETERAN SERVICE OFFICER,mi_26077
Wayne County - Schoolcraft College,Wayne,"18600 Haggerty Rd., Livonia, MI 48152",248-241-3472,strzeleckis@michigan.gov,"Monday - Thursday, 7:00 a.m. - 3:30 p.m. (by appointment only)","Steven Strzelecki, Accredited",MICHIGAN VETERANS AFFAIRS AGENCY - VETERAN SERVICE OFFICER,mi_26163
Kalamazoo County Veterans Service Office,Kalamazoo,"311 E. Alcott St., Kalamazoo, MI 49001",269-373-5361,ljking@kalcounty.com,"Monday - Friday, 8:00 a.m. - 4:00 p.m.","Jessecia Harter, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26077
Isabella County Department of Veterans Affairs,Isabella,"2200 S. Lincoln Rd., Mount Pleasant, MI 48858",989-317-4093,Veterans@IsabellaCounty.org,"Monday - Friday, 8:00 a.m. - 4:30 p.m.","Ian Welch, Accredited, Director",COUNTY VETERAN SERVICE OFFICER,mi_26073
Oakland County Department of Veterans Affairs - Pontiac Office,Oakland,"North Office Building 26 East, 1200 North Telegraph, Pontiac, MI 48341-0468",248-858-0785,veterans-services@oakgov.com,"Monday - Friday, 8:30 a.m. - 4:30 p.m.","Alysa Wamsler, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26125
Midland County Veterans Services Office,Midland,"220 W. Ellsworth St., Midland, MI 48640",989-832-6600,kmeyer@co.midland.mi.us,"Monday - Friday, 8:00 a.m. - 5:00 p.m.","Kieshan Counts, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26111
Wayne County – Canton CBOC,Wayne,"5900 North Lotz Road, Canton, MI 48187",586-234-1854,allen.smith@va.gov,"Friday, 7:00 a.m. - 5:30 p.m.","Richard Legault, Accredited",VIETNAM VETERANS OF AMERICA - VETERAN SERVICE OFFICER,mi_26163
Lenawee County Department of Veterans Affairs,Lenawee,"1040 S. Winter St., Suite 3017, Adrian, MI 49221",517-264-5335,veterans.affairs@lenawee.mi.us,"Monday - Thursday, 8:00 a.m. - 12:00 p.m. and 1:30 p.m. - 4:30 p.m.","Kristina Eschedor, Accredited, Veterans Relief Service Officer",COUNTY VETERAN SERVICE OFFICERS,mi_26091
Bay County - Great Lakes Bay Vet Center,Bay,"6387 Westside Saginaw Rd, Bay City, MI 48706","833-648-3826, Option 1",Kcounts@milegionfoundationonmicrosoft.com,"Wednesday - Friday, 8:00 a.m. - 4:00 p.m.","Kieshan Counts, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26017
Wayne County – Radcliff Center,Wayne,"1751 Radcliff St., Garden City, MI 48135",734-793-1850,mschantz@milegionfoundation.onmicrosoft.com,"Monday, 8:00 a.m. - 4:00 p.m.","Matthew Schantz, Accredited",AMERICAN LEGION &ndash; VETERAN SERVICE OFFICER,mi_26163
Oakland County - American Legion Post 108,Oakland,"130 E. Drahner, Oxford, MI 48371","833-648-3826, Option 1",lisa.misenko@va.gov,"3rd Tuesday, 8:00 a.m. - 4:00 p.m.","Lisa Misenko, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26125
Lapeer County Veteran Services,Lapeer,"287 W. Nepessing St., Suite 2, Lapeer, MI 48446",810-667-0256,veteranservices@lapeercounty.org,"Monday - Friday, 7:30 a.m. - 4:30 p.m.","Amanda Klein, Accredited",VETERANS OF FOREIGN WARS - VETERAN SERVICE OFFICER,mi_26087
Allegan County Office of Veteran Services,Allegan,"3255 122nd Ave., Suite 200, Allegan, MI 49010, &nbsp;",269-673-0501,jgarcia@allegancounty.org,"Monday - Friday, 8:00 a.m. - 5:00 p.m.","Anthony Morales, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26005
Oakland County - Oakland University,Oakland,"502 Meadow Brook Rd., Rochester, MI 48309",313-964-6640,lisa.misenko@va.gov,"3rd Wednesday, 8:00 a.m. - 4:00 p.m.","Lisa Misenko, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26125
Bay County Office of Veteran Affairs,Bay,"515 Center Ave., Room 103, Bay City, MI 48708",989-895-4190,kaczmarekm@baycountymi.gov,"Monday - Friday, 8:00 a.m. to 5:00 p.m.","Mark Kaczmarek, Accredited",COUNTY VETERAN SERVICE OFFICER,mi_26017
Bay County - Bay Veterans Foundation,Bay,"1009 N. Madison Ave., Bay City, MI 48708","833-648-3826, Option 1",Kcounts@milegionfoundationonmicrosoft.com,"Monday, 8:00 a.m. - 4:00 p.m.","Kieshan Counts, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26017
Oakland County - Easterseals MORC,Oakland,"22179 W. 9 Mile Rd., Southfield, MI 48033","833-648-3826, Option 1",lisa.misenko@va.gov,"2nd Thursday, 8:00 a.m. - 4:00 p.m.","Lisa Misenko, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26125
Oakland County - American Legion Post 14,Oakland,"1340 W. Maple Rd., Troy, MI 48084","833-648-3826, Option 1",lisa.misenko@va.gov,"1st & 3rd Monday, 8:00 a.m. - 4:00 p.m.","Lisa Misenko, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26125
Oakland County Department of Veterans Affairs - Troy Office,Oakland,"1151 Crooks Road, Entrance B, Troy, MI 48084",248-655-1250,veterans-services@oakgov.com,"Monday - Friday, 8:30 a.m. - 4:30 p.m.","Meghan Forshey, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26125
Wayne County - Taylor Media Center,Wayne,"23511 Goddard Rd., Taylor, MI 48180",313-410-0369,rhonda.brown6@va.gov,"Wednesday - Friday, 8:00 a.m. &ndash; 4:00 p.m.","Rhonda Brown, Accredited",VIETNAM VETERANS OF AMERICA - VETERAN SERVICE OFFICER,mi_26163
Wayne County – Henry Ford Centennial Library,Wayne,"16301 Michigan Ave., Room M-33, Dearborn, MI 48126, &nbsp;",734-800-9399,rlegault.vso@outlook.com,"Thursday, 10:00 a.m. - 5:00 p.m.","Richard Legault, Accredited",VIETNAM VETERANS OF AMERICA - VETERAN SERVICE OFFICER,mi_26163
St. Joseph County Department of Veterans Affairs,St. Joseph,"125 W. Main St., Centreville, MI 49032",269-467-5512,summeys@stjosephcountymi.org,"Monday - Friday, 9:00 a.m. - 4:00 p.m.","Jarrod Phillips, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26149
Clare County - VA Outpatient Clinic,Clare,"11775 North Isabella Rd., Clare, MI 48617",989-386-8113,ecuddington@michiganlegion.org,"Monday, Tuesday, Thursday, 7:30 a.m. - 4:00 p.m.","Rebecca MacFarlane, Accredited",VIETNAM VETERANS OF AMERICA - VETERANS SERVICE OFFICERS,mi_26035
Van Buren County Veterans Services,Van Buren,"226 East Michigan Ave., Paw Paw, MI 49079",269-657-8200,fossittm@vanburencountymi.gov,"Monday - Friday, 8:30 a.m. - 5:00 p.m.","Michael Fossitt, Accredited, Acting Director",COUNTY VETERAN SERVICE OFFICERS,mi_26159
Muskegon County - American Legion Post 297,Muskegon,"3590 Conklin St., Ravenna, MI 49451",517-582-1678,dav.vbadet@va.gov,"Wednesday, 9:00 a.m. - 2:00 p.m.","Courtney Mills, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26121
Clare County - American Legion Post 558,Clare,"400 E. Ludington Dr., Farwell, MI 48622",,vjohnsonalvso@outlook.com,"4th Tuesday, 8:00 a.m. - 4:00 p.m.","Valerie Johnson, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26035
Ottawa County Department of Veterans Services,Ottawa,"12251 James St., Suite 300, Holland, MI 49424",616-393-8387,Ottawacountydva@miottawa.org,"Monday - Friday, 8:00 a.m. - 5:00 p.m.","Cheryl Wynsma, Accredited",VIETNAM VETERANS OF AMERICA - VETERAN SERVICE OFFICER,mi_26139
Macomb County - Detroit Arsenal,Macomb,"6501 E. 11 Mile Road, Building 23W, Room# 1H119-L, Warren, MI 48397",586-817-6107,Rbowens@davmichigan.com,"Tuesday, Wednesday, 8:30 a.m. - 7:00 p.m.","Rodney Bowens, Accredited",Rbowens@davmichigan.com,mi_26099
Monroe County Department of Veterans Affairs,Monroe,"965 S. Raisinville Road, Monroe, MI 48161",734-240-3287 or 734-240-3291,alvin_bond@monroemi.org,"Monday - Friday, 9:00 a.m. - 4:00 p.m.","Rachael Blanks, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26115
Tuscola County Office of Veterans Affairs,Tuscola,"1309 Cleaver Road, Caro, MI 48723",989-673-8148,jboggs@tchd.us,"Monday - Friday, 8:00 a.m. - 4:00 p.m.","Teressa Bonesteel, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26157
Wayne County - Volunteers of America,Wayne,"253 E. Milwaukee St., Detroit, MI 48202",586-817-6107,Rbowens@davmichigan.com,"1st Friday, 8:30 a.m. - 7:00 p.m.","Rodney Bowens, Accredited",Rbowens@davmichigan.com,mi_26163
Wayne County - Downriver Community Conference Center,Wayne,"2121 Biddle Ave., Wyandotte, MI 48192",734-720-7852,mschantz@milegionfoundation.onmicrosoft.com,"Tuesday - Thursday, 8:00 a.m. - 4:00 p.m.","Matthew Schantz, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26163
Wayne County - Detroit VA Medical Center,Wayne,"4646 John R St., Detroit, MI 48201, &nbsp;",313-576-1000,paulus.obey@va.gov,"Tuesday - Wednesday, 7:00 a.m. - 5:30 p.m.","Bonnie Gibbs, Accredited",VETERANS OF FOREIGN WARS - VETERAN SERVICE OFFICERS,mi_26163
Wayne County - Vietnam Veterans of America - Telework,Wayne,,734-800-9399,tammy.bhatti@va.gov,,"Bethany Bragenzer, Accredited",Wayne County - Vietnam Veterans of America - Telework,mi_26163
Wayne County - Patrick V. McNamara Federal Building,Wayne,"477 Michigan Ave.&nbsp;&nbsp;, Detroit, MI 48226, &nbsp;",833-648-3826 option #1 or 313-964-6640,al.vbadet@va.gov,"Monday - Friday, 8:00 a.m. - 4:00 p.m.","Rhonda Brown, Accredited",VIETNAM VETERANS OF AMERICA - VETERANS SERVICE OFFICERS,mi_26163
Wayne County Department of Veterans Affairs,Wayne,"400 Monroe, Suite 405, Detroit, MI 48226",313-224-5045,Gdevereaux@waynecountymi.gov,"Monday - Friday, 8:00 a.m. - 4:30 p.m.",,jdavis3@waynecountymi.gov,mi_26163
Oakland County - VFW Post 6691,Oakland,"17075 Anita Street, Fraser, MI 48026",734-800-9399,,"Wednesday, 8:00 a.m. - 4:00 p.m.","Richard Legault, Accredited",VIETNAM VETERANS OF AMERICA - VETERAN SERVICE OFFICER,mi_26125
Macomb County - VVA Chapter 154,Macomb,"18025 15 Mile Rd., Clinton Twp., MI 48035",734-800-9399,rlegault.vso@outlook.com,"Monday, 9:00 am. - 2:00 p.m.","Richard Legault, Accredited",VIETNAM VETERANS OF AMERICA - VETERAN SERVICE OFFICER,mi_26099
Newaygo County Department of Veterans Affairs,Newaygo,"1087 Newell St., White Cloud, MI 49349",231-689-7218,stevec@co.newaygo.mi.us,"Monday - Friday, 8:00 a.m. - 5:00 p.m.","Charles McKinley, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26123
Mecosta County Department of Veterans Affairs,Mecosta,"14330 Northland Dr., Big Rapids, MI 49307",231-679-8774,rshoop@mecostacounty.org,"Monday - Tuesday, 10:00 a.m. - 5:00 p.m. & Wednesday, 10:00 a.m. - 4:00 p.m.","Phillip Babcock, Accredited",AMERICAN LEGION - VETERANS SERVICE OFFICER,mi_26107
Wayne County - Detroit Vet Center,Wayne,"11214 Jefferson Ave., Detroit, MI 48214",248-241-3472,strzeleckis@michigan.gov,"4th Wednesday, 7:00 a.m. - 3:30 p.m. (by appointment only)","Steven Strzelecki, Accredited",MICHIGAN VETERANS AFFAIRS AGENCY - VETERAN SERVICE OFFICER,mi_26163
Macomb County Department of Veterans Affairs,Macomb,"21885 Dunham Road, Suite 3, Clinton Twp., MI 48036",586-469-5315,laura.rios@macombgov.org,"Monday - Friday, 8:30 a.m. - 5:00 p.m.","Mark Scott, Accredited",david.hannum@macombgov.org,mi_26099
Gladwin County Department of Veterans Affairs,Gladwin,"555 W. Cedar Ave., Gladwin, MI 48624",989-426-4891,vadirector@gladwincounty-mi.gov,"Monday - Friday, 8:00 a.m. - 4:00 p.m.","Karly Knapp, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26051
Ottawa County – American Legion Post 28,Ottawa,"700 S. Harbor Dr., Grand Haven, MI 49417",517-582-1678,cthurber@michiganlegion.org,"Monday, 9:00 a.m. - 2:00 p.m.","Courtney Mills, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26139
Muskegon County - CBOC,Muskegon,"2734 E. Apple Ave., Muskegon, MI 49442",586-854-1858,amber.henderson@va.gov,"Monday-Tuesday, 8:00 a.m. - 4:30 p.m.","Amber Henderson, Accredited",DISABELED AMERICAN VETERANS - VETERAN SERVICE OFFICER,mi_26121
Osceola County Veterans Services Office,Osceola,"215 S. Division St., Hersey, MI 49639",231-680-4341,veteransservices@osceolacountymi.com,"Monday - Friday, 8:00 a.m. - 4:00 p.m.","Rick Lloyd, Accredited",COUNTY VETERANS SERVICE OFFICERS,mi_26133
Clare County Veterans Services,Clare,"225 W. Main St., Harrison, MI 48625",989-539-3273,hauserk@clareco.net,"Monday - Friday, 8:00 a.m. - 4:30 p.m.","Allisha Gary, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26035
Muskegon County Department of Veterans Affairs,Muskegon,"1903 Marquette Ave., Muskegon, MI 49442",231-724-7143,baauwmi@co.muskegon.mi.us,"Monday - Friday, 8:00 a.m. - 5:00 p.m.","Courtney Mills, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26121
Arenac County Veterans Affairs,Arenac,"120 N. Grove St., Room #B11, Standish, MI 48658",989-846-9080,va@arenaccountymi.gov,"Tuesday - Wednesday, 9:00 a.m. - 3:00 p.m. & Thursday - Friday, 10:00 a.m. - 2:30 p.m.","Ron Alley, Accredited",COUNTY VETERAN SERVICE OFFICER,mi_26011
Cass County Department of Veterans Affairs,Cass,"120 N. Broadway St., Suite 100, Cassopolis, MI 49031",269-445-4472,kareek@cassco.org,"Monday - Wednesday, 7:00 a.m. - 4:00 p.m.","Karee Krause, Accredited, Director",COUNTY VETERAN SERVICE OFFICER,mi_26027
Sanilac County Department of Veterans Affairs,Sanilac,"171 Dawson St., Room 227, Sandusky, MI 48471",810-648-0212,director@sanilaccountyva.org,"Monday - Friday, 8:00 a.m. - 4:00 p.m.","Shannon Kreger, Accredited, Director",COUNTY VETERAN SERVICE OFFICER AND TRUST FUND AGENT,mi_26151
Lake County Veterans Services,Lake,"800 Tenth St., Suite 100, Baldwin, MI 49304",231-745-6003,nbarton@co.lake.mi.us,"Monday - Thursday, 8:30 a.m. - 5:00 p.m.","Nicole Barton, Accredited",COUNTY VETERAN SERVICE OFFICER,mi_26085
Berrien County - Benton Harbor CBOC,Berrien,"1275 Mall Dr., Benton Harbor, MI 49022",833-648-3826,jclark@milegionfoundation.onmicrosoft.com,"1st & 4th Monday, 8:00 a.m. - 4:00 p.m.","Joshua Clark, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26021
Berrien County Department of Veterans Affairs - Niles Office,Berrien,"1205 N. Front Street, Niles, MI 49120",269-983-7111 ext. 6207,Veterans@berriencounty.org,"Monday, Tuesday Thursday, 9:00 a.m. - 2:00 p.m. and Wednesday, 9:00 a.m. - 1:00 p.m.","Ryan McNeely, Accredited",COUNTY VETERAN SERVICE OFFICER,mi_26021
Huron County Department of Veterans Affairs,Huron,"250 East Huron Ave., Room 101-E, Bad Axe, MI 48413",989-269-8911,youngs@co.huron.mi.us,"Monday - Friday, 8:30 a.m. - 4:30 p.m.","Hannah Young, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26063
Berrien County Department of Veterans Affairs - St. Joseph Office,Berrien,"701 Main St., St. Joseph, MI 49085",269-983-7111 ext. 8224,madams@berriencounty.org,"Monday - Friday, 8:30 a.m. - 5:00 p.m.","Erik Larsen, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26021
