Parish,Office_Name,Street_Address,City,State,Zip,Primary_Contact,Email,Secondary_Contact,Secondary_Email,Third_Contact,Third_Email,Office_Phone,Fax,Hours_Mon,Hours_Tue,Hours_Wed,Hours_Thu,Hours_Fri,Itinerant_Location,Itinerant_Phone,Itinerant_Hours,Website,geo_tag
Calcasieu Parish,Calcasieu Parish,"Courthouse, 1000 Ryan Street, Ground floor",Lake Charles,LA,70601,Deborah Gray,deborah.gray@la.gov,Jason Cole,jason.cole2@la.gov,,,337-491-2312,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22019
Caldwell Parish,Caldwell Parish,"Courthouse, 201 Main Street, Suite 6",Columbia,LA,71418,Scott Frye,scott.frye2@la.gov,,,,,318-649-2552,,Closed,8:45 a.m. - 3:45 p.m.,Closed,8:45 a.m. - 3:45 p.m.,Closed,,,,https://vetaffairs.la.gov/locations,la_22021
Cameron Parish,Cameron Parish,No Physical Location,Lake Charles,LA,70602,Deborah Gray,deborah.gray@la.gov,,,,,337-491-2312,,Closed,Closed,Closed,Closed,Closed,,,,https://vetaffairs.la.gov/locations,la_22023
Catahoula Parish,Catahoula Parish,"Courthouse, 301 Bushley Street, Room 109",Harrisonburg,LA,71340,Ahren Williams,ahren.williams@la.gov,,,,,318-744-0021,,Closed,Closed,Closed,9:00 a.m. - 3:30 p.m.,Closed,,,,https://vetaffairs.la.gov/locations,la_22025
Claiborne Parish,Claiborne Parish,"Police Jury Building, 507 West Main Street",Homer,LA,71040,Jarrod Booth,jarrod.booth@la.gov,,,,,318-927-3077,318-927-4809,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22027
Concordia Parish,Concordia Parish,905 Mickey Gilley Ave.,Jonesville,LA,71343,Ahren Williams,ahren.williams@la.gov,,,,,318-757-4952,,8 a.m. - 4:30 p.m.,Closed,8 a.m. - 4:30 p.m.,Closed,8 a.m. - 4:30 p.m.,,,,https://vetaffairs.la.gov/locations,la_22029
Desoto Parish,Desoto Parish,"Courthouse, 101 Texas Street, Room 204",Mansfield,LA,71052,Andrew Pastusic,andrew.pastusic@la.gov,,,,,318-872-0825,,Closed,Closed,8 a.m. - 4 p.m.,Closed,Closed,,,,https://vetaffairs.la.gov/locations,la_22031
East Baton Rouge Parish,East Baton Rouge Parish,5200 Florina Street,Baton Rouge,LA,70806,Shirley Brower,shirley.brower@la.gov,Frances Jackson,frances.jackson@la.gov,David Dupon,david.dupon@la.gov,225-389-3434,225-389-5778,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,,,,https://vetaffairs.la.gov/locations,la_22033
East Carroll Parish,East Carroll Parish,"Courthouse, 400 First Street",Lake Providence,LA,71254,Will Barnes,will.barnes@la.gov,,,,,318-559-2236,,Closed,8:30 a.m. - 3:30 p.m.,Closed,Closed,Closed,,,,https://vetaffairs.la.gov/locations,la_22035
East/West Feliciana Parish,East/West Feliciana Parish,"Louisiana Veterans Home, 4739 Highway 10",Jackson,LA,70748,Sonia Holiday,sonia.holiday@la.gov,,,,,225-634-4348,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,Closed,Closed,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22037
Evangeline Parish,Evangeline Parish,1612 W. Main Street,Ville Platte,LA,70586,Michael Jorden,michael.jorden@la.gov,,,,,337-363-3862,,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,Open second and fourth Thursday of every month,https://vetaffairs.la.gov/locations,la_22039
Franklin Parish,Franklin Parish,"Courthouse, 6558 Main Street, First Floor",Winnsboro,LA,71295,Jerry Martin,jerry.martin@la.gov,,,,,318-435-2141,,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22041
Grant Parish,Grant Parish,"Grant Parish Court House, 200 Main Street",Colfax,LA,71417,318-627-3023,norman.miller@la.gov,,,,,,,Closed,Closed,9 a.m.- 3:30 p.m.,Closed,Closed,,,,https://vetaffairs.la.gov/locations,la_22043
Headquarters,Headquarters,"Pointe-Cupiee Enterprises, 602 N. Fifth Street",Baton Rouge,LA,70802,225-219-5000,veteran@la.gov,,,,,225-219-5000,,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,,,,https://vetaffairs.la.gov/locations,la_22033
Iberia Parish,Iberia Parish,"Iberia Medical Center North Campus, 1100 Andre Street, Suite 204",New Iberia,LA,70563,MacArthur Lindon,macarthur.lindon@la.gov,,,,,337-373-0001,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22045
Iberville Parish,Iberville Parish,"Iberville Council on Aging, 58105 Court Street",Plaquemine,LA,70764,Phillip Dupas,phillip.dupas@la.gov,,,,,225-687-2714,,8 a.m. - 5 p.m.,8 a.m. - 5 p.m.,Closed,Closed,8 a.m. - 12 p.m.,,,,https://vetaffairs.la.gov/locations,la_22047
Jackson Parish,Jackson Parish,"Courthouse Annex, 322 Sixth Street",Jonesboro,LA,71251,Jarrod Booth,jarrod.booth@la.gov,,,,,318-259-2100,318-259-8396,Closed,9:30 a.m. - 3:50 p.m.,Closed,Closed,Closed,,,,https://vetaffairs.la.gov/locations,la_22049
Jefferson Davis Parish,Jefferson Davis Parish,"Southwest Louisiana War Veterans Home, 1610 Marshall Street",Jennings,LA,70546,MacArthur Lindon,macarthur.lindon@la.gov,,,,,337-246-6025,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22053
Jefferson Parish (East Bank),Jefferson Parish (East Bank),"Homeland Security Administration Building, 3616 Alver Street",Metairie,LA,70006,Craig Street,craig.street@la.gov,Xuan Tran,xuan.tran@la.gov,,,504-335-0601,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22051
Jefferson Parish (West Bank),Jefferson Parish (West Bank),"5001 West Bank Expressway, Suite C1",Marrero,LA,70072,Craig Street,craig.street@la.gov,Xuan Tran,xuan.tran@la.gov,,,504-349-5937,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22051
Lafayette Parish,Lafayette Parish,"War Memorial Building, 2100 Jefferson Street, Room 403B",Lafayette,LA,70501,William Dean,william.dean@la.gov,Nakeisha Foots,nakeisha.foots2@la.gov,Twana Benoit,,337-262-5628,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22055
Lafourche Parish,Lafourche Parish,2535 Veterans Blvd.,Thibodeaux,LA,70301,Duane Rodgers,duane.rodgers@la.gov,,,,,985-242-2014,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,"4876 Highway 1, Mathews, LA 70375",985-532-2595,"Itinerant Hours are 1st Tuesday of month, 9:00 a.m.-3:30 p.m.",https://vetaffairs.la.gov/locations,la_22057
Lafourche Parish (Itinerant Point),Lafourche Parish (Itinerant Point),4876 Highway 1,Mathews,LA,70375,Duane Rodgers,duane.rodgers@la.gov,,,,,985-532-2595,,Closed,9 a.m. - 3:30 p.m.,Closed,Closed,Closed,,,,https://vetaffairs.la.gov/locations,la_22057
Lasalle Parish,Lasalle Parish,"Courthouse, 1050 Court Street, Room 101",Jena,LA,71342,Cedric Myers,cedric.myers@la.gov,,,,,318-992-3506,,Closed,Closed,Closed,9:00 a.m. - 3:30 p.m.,Closed,,,,https://vetaffairs.la.gov/locations,la_22059
Lincoln Parish,Lincoln Parish,"Courthouse, 100 West Texas Ave., First Floor",Ruston,LA,71270,Sarah Thomas,sarah.thomas@la.gov,,,,,318-251-4142,,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,Closed,Closed,,,,https://vetaffairs.la.gov/locations,la_22061
Livingston Parish,Livingston Parish,20140 Iowa Street,Livingston,LA,70754,Carrie Morgan,carrie.morgan@la.gov,,,,,225-686-3295,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22063
Madison Parish,Madison Parish,402 East Green Street,Tallulah,LA,71282,Will Barnes,will.barnes@la.gov,,,,,318-574-3870,,Closed,8 a.m. - 3 p.m.,8 a.m. - 3 p.m.,8 a.m. - 3 p.m.,Closed,,,,https://vetaffairs.la.gov/locations,la_22065
Morehouse Parish,Morehouse Parish,129 North Franklin Street,Bastrop,LA,71220,Thomas Watson,thomas.watson@la.gov,,,,,318-283-0841,,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22067
Natchitoches Parish,Natchitoches Parish,1016 Keyser Ave.,Natchitoches,LA,71457,Lisa Miller,lisa.miller2@la.gov,,,,,318-357-3106,318-357-2428,8 a.m. - 4 p.m.,Closed,Closed,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22069
Orleans Parish,Orleans Parish,"4650 Bullit Drive, Building 200",New Orleans,LA,70128,Craig Street,craig.street@la.gov,Xuan Tran,xuan.tran@la.gov,,,504-658-0063,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22071
Ouachita Parish,Ouachita Parish,1410 Sterett Street,Monroe,LA,71201,Dawson Ken,dawson.ken@la.gov,Mark Anderson,mark.anderson@la.gov,,,318-362-3774,318-362-3833,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22073
Plaquemines Parish,Plaquemines Parish,309 F. Davis Pkwy.,Belle Chasse,LA,70037,Vernon Scott,vernon.scott@la.gov,,,,,504-432-2514,,Closed,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,Closed,,,,https://vetaffairs.la.gov/locations,la_22075
Pointe Coupee Parish,Pointe Coupee Parish,"215 East Main Street, Suite 108",New Roads,LA,70760,Sonia Holiday,sonia.holiday@la.gov,,,,,225-638-9585,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22077
Rapides Parish,Rapides Parish,"Plaza, 2305 Lee Street, Building 5 - Suite 1",Alexandria,LA,71301,Jessy Guillory,jessy.guillory@la.gov,Richard Dover,richard.dover@la.gov,,,318-487-5764,318-487-5746,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22079
Red River Parish,Red River Parish,"Courthouse Annex, 2010 Red Oak Road",Coushatta,LA,71019,Dalton Halladay,dalton.halladay@la.gov,,,,,318-932-49110,,Closed,9 a.m. - 3:30 p.m.,Closed,Closed,Closed,,,Open third Tuesday of every month,https://vetaffairs.la.gov/locations,la_22081
Richland Parish,Richland Parish,"Courthouse Basement, 708 Julia Street",Rayville,LA,71269,Jerry Martin,jerry.martin@la.gov,,,,,318-728-2472,,Closed,8:30 a.m. - 4 p.m.,Closed,8:30 a.m. - 4 p.m.,Closed,,,,https://vetaffairs.la.gov/locations,la_22083
Sabine Parish,Sabine Parish,"415 S. Capitol Street, Suite B",Many,LA,71449,Pamela Russell,pamela.russell@la.gov,,,,,318-256-4131,318-256-4169,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22085
St. Bernard Parish,St. Bernard Parish,"St. Bernand Parish Office of Veterans Affa, 200 W. Main St. Room 104",Chalmette,LA,70043,Vernon Scott,vernon.scott@la.gov,,,,,504-324-7982,,8 a.m. - 4 p.m.,Closed,Closed,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22087
St. Charles Parish,St. Charles Parish,"15045 River Rd., Rm 135",Hahnville,LA,70057,Ebony Crowell,ebony.crowell2@la.gov,,,,,985-783-2221,,Closed,9 a.m. - 3:30 p.m.,Closed,Closed,Closed,,,,https://vetaffairs.la.gov/locations,la_22089
St. Helena Parish,St. Helena Parish,"Health Unit Building, 53 North Second Street",Greensburg,LA,70441,Carrie Morgan,carrie.morgan@la.gov,,,,,225-222-6202,,Closed,Closed,9 a.m. - 3:30 p.m.,Closed,Closed,,,,https://vetaffairs.la.gov/locations,la_22091
St. James Parish,St. James Parish,2430 Louisiana Ave.,Lutcher,LA,70071,Glenda Russ,glenda.russ@la.gov,,,,,225-869-3643,,Closed,9 a.m. - 3 p.m.,Closed,9 a.m. - 3 p.m.,Closed,,,,https://vetaffairs.la.gov/locations,la_22093
St. John the Baptist Parish,St. John the Baptist Parish,"Southeast Louisiana Veterans Home, 4080 W. Airline Highway",Reserve,LA,70084,Benjamin Bradley,benjamin.bradley@la.gov,,,,,(985) 479-4080,,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,Closed,,,,https://vetaffairs.la.gov/locations,la_22095
St. Landry Parish,St. Landry Parish,"1065 Highway 749, Suite F",Opelousas,LA,70570,Joe Zetty,joe.zetty@la.gov,Darrel Miller,darrel.miller@la.gov,,,337-948-0238,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,"501 Samuel Drive, Eunice, LA 70535",337-546-4056,,https://vetaffairs.la.gov/locations,la_22097
St. Landry Parish (Itinerant Point),St. Landry Parish (Itinerant Point),501 Samuel Drive,Eunice,LA,70535,Joe Zetty,joe.zetty@la.gov,,,,,337-546-4056,,Closed,Closed,9 a.m. - 3:30 p.m.,Closed,9 a.m. - 3:30 p.m.,,,,https://vetaffairs.la.gov/locations,la_22097
St. Martin Parish,St. Martin Parish,"Courthouse, 415 St. Martin De Porres Street",St. Martinville,LA,70582,MacArthur Lindon,macarthur.lindon@la.gov,,,,,337-394-2210,,Closed,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22099
St. Mary Parish,St. Mary Parish,"Courthouse, 500 Main Street",Franklin,LA,70538,Michael Jorden,michael.jorden@la.gov,,,,,337-828-4100,,Closed,Closed,8 a.m. - 4 p.m.,Closed,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22101
St. Tammany Parish (East),St. Tammany Parish (East),"520 Old Spanish Trail, Suite 2-E",Slidell,LA,70458,Jeannie Hughes,jeannie.hughes@la.gov,,Patrick.Duhe@la.gov,"James Lee (Th, F)",james.lee3@la.gov,985-645-3500,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22103
St. Tammany Parish (West),St. Tammany Parish (West),1301 North Florida Street,Covington,LA,70433,Jeannie Hughes,jeannie.hughes@la.gov,Gerard Naquin,gerard.naquin@la.gov,,,985-893-6201,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22103
Tangipahoa Parish,Tangipahoa Parish,15481 West Club Deluxe Road,Hammond,LA,70403,James Lee,James.Lee3@la.gov,,,,,,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,Closed,"308 Avenue G, Kentwood, LA 70444",985-229-3451 (Ask for LDVA),8:30 AM - 3:30 PM - on Fridays,https://vetaffairs.la.gov/locations,la_22105
Tangipahoa Parish (Itinerant Point),Tangipahoa Parish (Itinerant Point),308 Avenue G,Kentwood,LA,70444,James Lee,James.Lee3@la.gov,,,,,985-229-3451,,Closed,Closed,Closed,Closed,8:30 AM - 3:30 PM,,,Walk-ins accepted 8:30 AM - 12:00PM,https://vetaffairs.la.gov/locations,la_22105
Tensas Parish,Tensas Parish,"Tensas Parish Police Jury Building, 205 Hancock Street",St. Joseph,LA,71366,Ahren Williams,ahren.williams@la.gov,,,,,318-766-3542,,Closed,9 a.m. - 3:30 p.m.,Closed,Closed,Closed,,,,https://vetaffairs.la.gov/locations,la_22107
Terrebonne Parish,Terrebonne Parish,1190 Barrow Street,Houma,LA,70360,Deadre Durrah,deadre.durrah@la.gov,,,,,985-857-3626,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,,,,https://vetaffairs.la.gov/locations,la_22109
Union Parish,Union Parish,"Courthouse Annex, 303 East Water Street, Suite 105",Farmerville,LA,71241,Sarah Thomas,sarah.thomas@la.gov,,,,,318-368-3271,,Closed,8 a.m. - 4 p.m.,Closed,8 a.m. - 12 p.m.,Closed,,,,https://vetaffairs.la.gov/locations,la_22111
Vermilion Parish,Vermilion Parish,"407 Charity Street, Suite 101",Abbeville,LA,70510,Michael Jorden,michael.jorden@la.gov,,,,,337-893-2072,,Closed,Closed,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,Closed,,,Open first Tuesday of every month,https://vetaffairs.la.gov/locations,la_22113
Vernon Parish,Vernon Parish,"Courthouse Annex, 201 North Main Street, Suite 206",Leesville,LA,71446,Dawson Ken,dawson.ken@la.gov,,,,,318-238-6413,,Closed,8 a.m. - 3:30 p.m.,Closed,8 a.m. - 3:30 p.m.,Closed,,,,https://vetaffairs.la.gov/locations,la_22115
Washington Parish,Washington Parish,23068 Highway 10,Bogalusa,LA,70427,Benjamin Bradley,benjamin.bradley@la.gov,,,,,985-732-0668,,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,8 a.m. - 4 p.m.,"215 11th Ave., Franklinton, LA 70438",985-839-3497,"Itinerant Hours are 1st Tuesday of month, 9:00 a.m.-3:30 p.m.",https://vetaffairs.la.gov/locations,la_22117
Washington Parish (Itinerant Point),Washington Parish (Itinerant Point),215 11th Ave.,Franklinton,LA,70438,Benjamin Bradley,benjamin.bradley@la.gov,,,,,985-839-3497,,Closed,9 a.m. - 3:30 p.m.,Closed,Closed,Closed,,,,https://vetaffairs.la.gov/locations,la_22117
Webster Parish,Webster Parish,"American Legion Memorial Home, 119 Pine Street",Minden,LA,71055,Andrew Pastusic,andrew.pastusic@la.gov,,,,,318-371-3045,318-371-3331,9 a.m. - 3:30 p.m.,Closed,Closed,Closed,9 a.m. - 3:30 p.m.,"301 West Church Street, Springhill, LA 71075",318-539-5681,"First and Third Wednesday, 9:00 a.m.-3:00 p.m.",https://vetaffairs.la.gov/locations,la_22119
Webster Parish (Itinerant Point),Webster Parish (Itinerant Point),301 W. Church St.,Springhill,LA,71075,Dalton Halladay,dalton.halladay@la.gov,,,,,318-539-5681,,Closed,Closed,9 a.m. - 3 p.m.,Closed,Closed,,,,https://vetaffairs.la.gov/locations,la_22119
West Baton Rouge Parish,West Baton Rouge Parish,"West Baton Rouge Courthouse Annex, 883 Seventh Street",Port Allen,LA,70767,Phillip Dupas,phillip.dupas@la.gov,,,,,225-342-6686,,Closed,Closed,8:30 a.m. - 4 p.m.,Closed,Closed,,,,https://vetaffairs.la.gov/locations,la_22121
West Carroll Parish,West Carroll Parish,310 Skinner Lane,Oak Grove,LA,71263,Thomas Watson,thomas.watson@la.gov,,,,,318-428-2671,,Closed,8:30 a.m. - 4 p.m.,Closed,8:30 a.m. - 4 p.m.,Closed,,,,https://vetaffairs.la.gov/locations,la_22123
Winn Parish,Winn Parish,"Winn Parish Courthouse, 101 West Main Street, Room 4",Winnfield,LA,71483,Lisa Miller,lisa.miller2@la.gov,,,,,318-628-4584,318-628-2508,Closed,9 a.m. - 3 p.m.,9 a.m. - 3 p.m.,Closed,Closed,,,,https://vetaffairs.la.gov/locations,la_22127
