county,office_name,address,phone,phone2,fax,email,website,geo_tag
Clinton,Clinton County Veterans Service Office,"43 S. Walnut St., Box #2, Wilmington, OH 45177",1 (937) 382-3233,,1 (937) 655-8834,vets@clintoncountyohio.us,https://www.clintonvets.com/,oh_39027
Columbiana,Columbiana County Veterans Service Office,"7989 Dickey Dr., Ste. 1, Lisbon, OH 44432",1 (330) 424-7214,,1 (330) 424-9692,dsmith@columbianacountyvsc.org,https://columbianacountyvets.org/,oh_39029
Coshocton,Coshocton County Veterans Service Office,"Courthouse, 318 Main St., Coshocton, OH 43812",1 (740) 622-2313,,1 (740) 623-6507,dougschaefer@coshoctoncounty.net,https://www.coshoctoncounty.net/veterans/,oh_39031
Crawford,Crawford County Veterans Service Office,"112 E. Mansfield St., Ste. 95, CH Lower Level, Admin. Bldg., Bucyrus, OH 44820",1 (419) 562-7761,,1 (419) 562-0662,mikea@crawford-co.org,http://www.crawfordcountyveteransohio.com/,oh_39033
Cuyahoga,Cuyahoga County Veterans Service Office,"3950 Chester Ave., Cleveland, OH 44114",1 (216) 698-2600,,1 (216) 698-2650,vscmail@cuyahogacounty.us,http://cuyahogavets.org/,oh_39035
Darke,Darke County Veterans Service Office,"611 Wagner Ave., Greenville, OH 45331",1 (937) 548-5305,,1 (937) 548-0579,tpitman@darkecountyveterans.org,https://darkecountyveterans.org/,oh_39037
Defiance,Defiance County Veterans Service Office,"1300 E. Second St., Ste. 102, Defiance, OH 43512",1 (419) 782-6861,,1 (419) 782-6713,veterans@defiance-county.com,https://www.defiance-county.com//veterans-affairs/index.php,oh_39039
Delaware,Delaware County Veterans Service Office,"91 N. Sandusky St., Delaware, OH 43015",1 (740) 833-2010,,1 (740) 833-2019,bgalligher@co.delaware.oh.us,https://veteransservice.co.delaware.oh.us/,oh_39041
Erie,Erie County Veterans Service Office,"2900 Columbus Ave., 2nd Flr., Sandusky, OH 44870",1 (419) 627-7650,,1 (419) 627-6660,csolander@eriecounty.oh.gov,https://www.eriecounty.oh.gov/Veteransresources.aspx,oh_39043
Fairfield,Fairfield County Veterans Service Office,"1550 Sheridan Dr., Ste. 301, Lancaster, OH 43130",1 (740) 652-7920,,1 (740) 689-6203,Justin.messinger@fairfieldcountyohio.gov,https://www.fcvsc.org/,oh_39045
Fayette,Fayette County Veterans Service Office,"133 S. Main St., Ste. L11, Washington Court House, OH 43160",1 (740) 335-1610,,1 (740) 333-3587,vetsservices@fayette-co-oh.com,https://www.fayette-co-oh.com/253/Veterans-Service-Commission,oh_39047
Franklin,Franklin County Veterans Service Office,"280 E. Broad St., 1st Flr., Columbus, OH 43215",1 (614) 525-2500,,1 (614) 525-2505,veteransservice@franklincountyohio.gov,https://vets.franklincountyohio.gov/,oh_39049
Fulton,Fulton County Veterans Service Office,"604 S. Shoop Ave., Ste. 270, Wauseon, OH 43567",1 (419) 337-9266,,1 (419) 337-9296,fcvets@fultoncountyoh.com,https://www.fultoncountyoh.com/1387/Veterans-Services,oh_39051
Gallia,Gallia County Veterans Service Office,"323 Upper River Rd., Ste. A, Gallipolis, OH 45631",1 (740) 446-2005,,1 (740) 446-3915,jdanford@gallianet.net,https://gallianet.net/index.php/gallia-county/veteran-s-service-center/center-information,oh_39053
Geauga,Geauga County Veterans Service Office,"12611 Ravenwood Dr., Ste. 260, Chardon, OH 44024",1 (440) 279-1860,,1 (440) 285-4489,mpemberton@co.geauga.oh.us,https://vets.co.geauga.oh.us/,oh_39055
Greene,Greene County Veterans Service Office,"571 Ledbetter Rd., Xenia, OH 45385",1 (937) 562-6020,,1 (937) 562-6021,timothy.espich@greenecountyohio.gov,https://greenevets.com/,oh_39057
Guernsey,Guernsey County Veterans Service Office,"627 Wheeling Ave., Ste. 102, Cambridge, OH 43725",1 (740) 432-9295,,1 (740) 432-6086,mliberatore@guernseycounty.org,http://guernseycounty.org/veterans-service/,oh_39059
Hamilton,Hamilton County Veterans Service Office,"1701 Patricia McCollum Way, Cincinnati, OH 45237",1 (513) 946-3300,,1 (513) 946-3320,orlando.sonza@hamiltoncountyohio.gov,https://www.hcvsc.org/,oh_39061
Hancock,Hancock County Veterans Service Office,"401 Olive St., Findlay, OH 45840",1 (419) 424-7036,,1 (567) 250-9389,veterans@co.hancock.oh.us,http://hancockveterans.com/,oh_39063
Hardin,Hardin County Veterans Service Office,"One Court House Sq., Ste. 120, Kenton, OH 43326",1 (419) 674-2219,,1 (419) 673-8406,vso@co.hardin.oh.us,http://www.hardinvets.com/,oh_39065
Harrison,Harrison County Veterans Service Office,"Courthouse, 100 W. Market St., Cadiz, OH 43907",1 (740) 942-8441,,1 (740) 942-8415,plargent@harrisoncountyohio.org,https://www.harrisoncountyveteransservices.com/,oh_39067
Henry,Henry County Veterans Service Office,"1855 Oakwood Ave., Napoleon, OH 43545",1 (419) 592-0956,,1 (419) 592-4016,henrycovets@bright.net,https://www.henrycountyohio.gov/290/Veterans-Service-Commission,oh_39069
Highland,Highland County Veterans Service Office,"1575 N. High St., Ste. 400, Hillsboro, OH 45133",1 (937) 393-8686,,1 (937) 393-8738,highlandcountyvets@co.highland.oh.us,https://www.co.highland.oh.us/offices/veterans.html,oh_39071
Hocking,Hocking County Veterans Service Office,"30657 Redrock Ct., Logan, OH 43138",1 (740) 385-7507,,1 (740) 380-2351,vetsservice@co.hocking.oh.us,http://www.co.hocking.oh.us/veterans/,oh_39073
Holmes,Holmes County Veterans Service Office,"75 E. Clinton St., Ste. 104, Millersburg, OH 44654",1 (330) 674-4806,,1 (330) 674-5459,dstackhouse@co.holmes.oh.us,https://www.co.holmes.oh.us/veterans-services-overview,oh_39075
Huron,Huron County Veterans Service Office,"185 Shady Lane Dr., Ste. C, Norwalk, OH 44857",1 (419) 668-4150,,1 (419) 663-6215,info@huroncountyvets.com,https://www.huroncountyvets.com/,oh_39077
Jackson,Jackson County Veterans Service Office,"157 Broadway St., Jackson, OH 45640",1 (740) 286-3004,,1 (740) 288-0105,Scott.King@jacksoncountyveterans.com,http://www.jacksoncountyohio.us/boards-agencies/veterans-services/,oh_39079
Jefferson,Jefferson County Veterans Service Office,"500 Market St., Ste. 310, Steubenville, OH 43952",1 (740) 283-8571,,1 (740) 283-8668,SGlasure@JeffersonCountyOh.com,https://www.jeffersoncounty.vet,oh_39081
Knox,Knox County Veterans Service Office,"105 E. Chestnut St., Mt. Vernon, OH 43050",1 (740) 393-6742,,1 (740) 393-6741,kevinhenthorn@co.knox.oh.us,https://kcvso.com/,oh_39083
Lake,Lake County Veterans Service Office,"Lake County Admin. Bldg., 105 Main St., Box 490, Painesville, OH 44077",1 (440) 350-2567,,1 (440) 350-5980,veteransservices@lakecountyohio.gov,https://www.lakecountyohio.gov/veteran-services/,oh_39085
Lawrence,Lawrence County Veterans Service Office,"Courthouse, 111 S. Fourth St., Ironton, OH 45638",1 (740) 533-4327,,1 (740) 533-4348,lawcovets@lawrenceoh.com,https://lawcovets.org,oh_39087
Licking,Licking County Veterans Service Office,"935 Buckeye Ave., Newark, OH 43055",1 (740) 670-5430,,1 (740) 670-5434,afoster@lickingcounty.gov,https://lickingcounty.gov/depts/veterans/default.htm,oh_39089
Logan,Logan County Veterans Service Office,"121 S. Opera St., Memorial Hall, Bellefontaine, OH 43311",1 (937) 599-4221,,1 (937) 592-1998,veterans@co.logan.oh.us,https://www.logancountyohio.gov/veterans-services.html,oh_39091
Lorain,Lorain County Veterans Service Office,"1230 N. Abbe Rd., Elyria, OH 44035",1 (440) 284-4625,,1 (440) 284-4696,veterans@loraincounty.us,https://www.loraincountyveterans.com/,oh_39093
Lucas,Lucas County Veterans Service Office,"2555 Arlington Ave., Toledo, OH 43614",1 (419) 213-6090,,1 (419) 213-6099,LCVSC@co.lucas.oh.us,https://lucascountyvets.org/,oh_39095
Madison,Madison County Veterans Service Office,"1 N. Main St., Room 011, London, OH 43140",1 (740) 852-0676,,1 (740) 852-5597,jennifer.moore@madison.oh.gov,https://www.co.madison.oh.us/services/veteran_services/index.php,oh_39097
Mahoning,Mahoning County Veterans Service Office,"345 Oakhill Ave., Ste. 100, Youngstown, OH 44502",1 (330) 740-2451,,1 (330) 788-3501,sskrzynski@mahoningcountyoh.gov,https://mahoningcountyvets.com/,oh_39099
Marion,Marion County Veterans Service Office,"Veterans Memorial Coliseum, 220 E. Fairground St., Ste. 101, Marion, OH 43302",1 (740) 387-0100,,1 (740) 387-1670,bethmarion07@midohio.twcbc.com,http://www.marionveteranservice.com/,oh_39101
Medina,Medina County Veterans Service Office,"210 Northland Dr., Medina, OH 44256",1 (330) 722-9368,,1 (330) 722-9378,veterans@medinacountyveterans.org,https://www.medinacountyveteransoh.gov,oh_39103
Meigs,Meigs County Veterans Service Office,"115 E. Memorial Dr., Ste. A, Pomeroy, OH 45769",1 (740) 992-2820,,1 (740) 992-1398,meigscvso@hotmail.com,https://dvs.ohio.gov/static/cvso-resources/cvso-pdf-webpages/meigs-county-veterans-service-office.pdf,oh_39105
Mercer,Mercer County Veterans Service Office,"220 W. Livingston St., B270, Celina, OH 45822",1 (419) 586-3542,,1 (419) 586-7702,eric.pugh@veterans.mercercountyohio.gov,https://www.mercercountyohio.org/county-services/veteran-services/,oh_39107
Miami,Miami County Veterans Service Office,"510 W. Water St., Ste. 140, Troy, OH 45373",1 (937) 440-8126,,1 (937) 440-8128,SLoyd@MCVets.org,https://www.co.miami.oh.us/562/Veterans-Services,oh_39109
Monroe,Monroe County Veterans Service Office,"118 Home Ave., Box 542, Woodsfield, OH 43793",1 (740) 472-0743,,1 (740) 472-2534,monroe.veterans@monroecountyohio.com,https://monroeveterans.org/,oh_39111
Montgomery,Montgomery County Veterans Service Office,"627 Edwin C. Moses Blvd., 4th Flr., E. Medical Plaza, Dayton, OH 45417",1 (937) 225-4801,,1 (937) 225-4854,veteransinfo@mcohio.org,http://www.mcvsc.org/,oh_39113
Morgan,Morgan County Veterans Service Office,"135 S. Kennebec Ave., McConnelsville, OH 43756",1 (740) 962-4181,,1 (740) 962-4361,director@morganvso.com,https://www.morgancounty-oh.gov/veterans.html,oh_39115
Morrow,Morrow County Veterans Service Office,"143 S. Main St., Mt. Gilead, OH 43338",1 (419) 946-1914,,1 (419) 946-1175,Vets@morrowcountyveterans.com,https://morrowcountyveterans.com,oh_39117
Muskingum,Muskingum County Veterans Service Office,"225 Underwood St., Ste. 500, Zanesville, OH 43701",1 (740) 455-7149,,1 (740) 455-7106,catouvell@muskingumcounty.org,https://www.muskingumcountyoh.gov/Agencies/Veterans/,oh_39119
Noble,Noble County Veterans Service Office,"190 Court House, Room 1A, Caldwell, OH 43724",1 (740) 732-5567,,1 (740) 732-4748,veterans@noblecountyohio.gov,https://noblecountyohio.gov/noble-county-veterans-service-commission,oh_39121
Ottawa,Ottawa County Veterans Service Office,"8444 W. State Rte. 163, Ste. 102, Oak Harbor, OH 43449",1 (419) 898-2089,,1 (419) 898-3067,veterans@co.ottawa.oh.us,https://www.co.ottawa.oh.us/358/Veterans-Service,oh_39123
Paulding,Paulding County Veterans Service Office,"810 E. Perry St., P.O. Box 215, Paulding, OH 45879",1 (419) 399-8285,,1 (419) 399-5571,jlichtyvso@pcohio.us,http://www.pauldingcountyoh.com/services/#veterans-services,oh_39125
Perry,Perry County Veterans Service Office,"128 S. Main St., New Lexington, OH 43764",1 (740) 342-2536,,1 (740) 342-3984,pcvets@perrycountyohio.net,http://www.perrycountyohio.net/agencies-and-offices/perry-county-veterans-service-commission,oh_39127
Pickaway,Pickaway County Veterans Service Office,"141 W. Main St., Ste. 300, Circleville, OH 43113",1 (740) 474-3650,,1 (740) 474-4646,mpettibone@pickawaycountyohio.gov,https://pickaway.org/offices/veterans-assistance/index.html,oh_39129
Pike,Pike County Veterans Service Office,"120 S. Market St., Waverly, OH 45690",1 (740) 947-2766,,1 (740) 947-9561,pcvso@yahoo.com,https://dvs.ohio.gov/static/cvso-resources/cvso-pdf-webpages/pike-county-veterans-service-office.pdf,oh_39131
Portage,Portage County Veterans Service Office,"466 S. Chestnut St., Ravenna, OH 44266",1 (330) 297-3545,,1 (330) 319-8562,portageveterans@portageco.com,https://www.co.portage.oh.us/veterans-services,oh_39133
Preble,Preble County Veterans Service Office,"1322 North Barron St., Eaton, OH 45320",1 (937) 456-6111,,1 (937) 456-1019,preblevso@woh.rr.com,https://preblecountyveterans.org/,oh_39135
Putnam,Putnam County Veterans Service Office,"336 E. Main St., Ste. A, Ottawa, OH 45875",1 (419) 523-4478,,1 (419) 523-4805,matt.prenzlin@putnamcountyohio.gov,https://www.pcvsc.org/,oh_39137
Richland,Richland County Veterans Service Office,"597 Park Ave. E., Mansfield, OH 44905",1 (419) 774-5822,,1 (419) 774-5831,info@richlandcountyvets.org,http://www.richlandcountyvets.org/,oh_39139
Ross,Ross County Veterans Service Office,"The Ross County Service Center, 475 Western Ave., Ste. #C, Chillicothe, OH 45601",1 (740) 772-1600,,1 (740) 772-1614,jobsforvets@hotmail.com,https://www.rosscountyohio.gov/veterans/index.html,oh_39141
Sandusky,Sandusky County Veterans Service Office,"2511 Countryside Dr., Ste. B, Fremont, OH 43420",1 (419) 334-4421,,1 (419) 334-3434,tstanforth@sanduskycountyoh.gov,https://www.sandusky-county.com/index.php?page=veterans-office,oh_39143
Scioto,Scioto County Veterans Service Office,"612 6th St., Ste. A, Portsmouth, OH 45662",1 (740) 353-1477,,1 (740) 354-4946,wdillonscvso@yahoo.com,https://dvs.ohio.gov/static/cvso-resources/cvso-pdf-webpages/scioto-county-veterans-service-office.pdf,oh_39145
Seneca,Seneca County Veterans Service Office,"920 E. County Rd. 20, Tiffin, OH 44883",1 (419) 447-2885,,1 (419) 448-5104,sencotsb@bright.net,http://www.senecacountyveterans.org/,oh_39147
Shelby,Shelby County Veterans Service Office,"133 S. Ohio Ave., Sidney, OH 45365",1 (937) 498-7282,,1 (937) 498-7483,Sherrye.lamma@shelbycountyveterans.org,https://shelbycountyveterans.org/,oh_39149
Stark,Stark County Veterans Service Office,"2955 Wise Ave. NW, Canton, OH 44708",1 (330) 451-7457,,1 (330) 451-7469,dmwilliams@starkcountyohio.gov,https://www.starkcountyohio.gov/veterans,oh_39151
Summit,Summit County Veterans Service Office,"1060 E. Waterloo Rd., Akron, OH 44306",1 (330) 643-2830,,1 (330) 643-8779,lmoore@vscsummitoh.us,https://www.vscsummitoh.us/,oh_39153
Trumbull,Trumbull County Veterans Service Office,"253 E. Market St., Warren, OH 44481",1 (330) 675-2585,,1 (330) 675-2484,Trumbullcountyvets@co.trumbull.oh.us,http://veterans.co.trumbull.oh.us/,oh_39155
Tuscarawas,Tuscarawas County Veterans Service Office,"393 16th St. SW, P.O. Box 807, New Philadelphia, OH 44663",1 (330) 339-1163,,1 (330) 339-1855,cookd@co.tuscarawas.oh.us,https://www.co.tuscarawas.oh.us/government/veteran_services/index.php,oh_39157
Union,Union County Veterans Service Office,"835 E. Fifth St., Ste. B, Marysville, OH 43040",1 (937) 642-7956,,1 (937) 642-9282,ucvets@co.union.oh.us,https://www.unioncountyohio.gov/veterans,oh_39159
Van Wert,Van Wert County Veterans Service Office,"121 E. Main St., Room 101, Van Wert, OH 45891",1 (419) 238-9592,,1 (419) 238-2819,vwvets@vanwertcounty.org,https://www.vanwertcountyohio.gov/services/veterans_services/index.php,oh_39161
Vinton,Vinton County Veterans Service Office,"Courthouse, P.O. Box 63, McArthur, OH 45651",1 (740) 790-7043,,1 (740) 596-4879,veterans@vintonco.com,https://vintoncounty.com/government/elected-officials-departments/,oh_39163
Warren,Warren County Veterans Service Office,"320 E. Silver St., Lebanon, OH 45036",1 (513) 695-2717,,1 (513) 695-2975,John.agenbroad@co.warren.oh.us,http://www.warrencountyveterans.com/,oh_39165
Washington,Washington County Veterans Service Office,"706 Pike St., Ste. 1, Marietta, OH 45750",1 (740) 568-9009,,1 (740) 568-9019,darren.shearlock@wcvsc.com,https://www.washingtongov.org/162/Veteran-Services,oh_39167
Wayne,Wayne County Veterans Service Office,"356 W. North St., Lower Level, Wooster, OH 44691",1 (330) 345-6638,,1 (330) 345-6945,mail@WayneCountyVeterans.org,https://woosterchamber.chambermaster.com/list/member/wayne-county-veterans-service-commission-7607,oh_39169
Williams,Williams County Veterans Service Office,"1425 E. High St., Ste. 106, Bryan, OH 43506",1 (419) 636-8812,,1 (419) 636-7429,danielbonney@williamsvets.org,http://co.williams.oh.us/207/Veteran-Services,oh_39171
Wood,Wood County Veterans Service Office,"1940 E. Gypsy Lane Rd., Bowling Green, OH 43402",1 (419) 354-9147,,1 (419) 354-9148,zmigura@woodcountyohio.gov,https://www.woodcountyvets.com,oh_39173
Wyandot,Wyandot County Veterans Service Office,"250 Highland Parkway, Ste. B, Upper Sandusky, OH 43351",1 (419) 294-2045,,1 (419) 294-6416,wyandotcovets@co.wyandot.oh.us,http://www.wyandotveterans.org/,oh_39175
