county,office_name,address,phone,fax,email,website,contact_persons,hours,geo_tag
Gilliam,Gilliam County VSO,"Gilliam County Courthouse, 212 S. Oregon St., Condon, OR 97823",(541) 705-0051 or (541) 351-9552,(541) 565-3312,veteranservice@co.sherman.or.us,https://www.co.gilliam.or.us/government/veteran_s_services/index.php,Paul Conway - CVSO,,or_41021
Grant,Grant County VSO,"530 E. Main St., Ste. 5, John Day, OR 97845",(541) 620-8057,(541) 620-7134,hoffmank@grantcounty-or.gov; hoffmank@grantcounty-or.gov,https://grantcountyoregon.net/271/Veteran-Services,Katee Hoffman - CVSO | hoffmank@grantcounty-or.gov,,or_41023
Harney,Harney County VSO,"17 S. Alder St., Burns, OR 97720",(541) 573-1342,(541) 573-6025,brian.j.needham@co.harney.or.us,https://harneycountyor.gov/veterans-affairs/,Brian Needham - CVSO | brian.j.needham@co.harney.or.us,,or_41025
Harney,Burns Paiute Tribe,"100 Pasigo Street, Burns, OR 97720",541-573-8004,,james.stmartin@burnspaiute-nsn.gov,https://burnspaiute-nsn.gov/,James S. St Martin - Social Services Director | 541-573-8004 | james.stmartin@burnspaiute-nsn.gov,,or_41025
Hood River,Hood River County VSO,"309 State Street, Hood River, OR 97031",541-386-1080,541-386-1128,vsomanager@hoodrivercounty.gov,https://www.co.hood-river.or.us/veterans,Lynetta Hickman - CVSO,,or_41027
Jackson,Jackson County VSO,"140 S. Holly St, Medford, OR 97501",(541) 774-8214,,jcvso@jacksoncountyor.gov,https://jacksoncountyor.gov/departments/health___human_services/programs_and_services/veterans_services/index.php,Rebecca Ward - Manager/CVSO,,or_41029
Jefferson,Jefferson County VSO,"860 SW Madison St., Madras, OR 97741",(541) 475-5228,(541) 475-4261,veteransserviceoffice@co.jefferson.or.us; laura.moore@co.jefferson.or.us; kevin.ellingsburg@co.jefferson.or.us,https://www.jeffco.net/vs,Laura Moore - Lead CVSO | laura.moore@co.jefferson.or.us Kevin Ellingsburg - CVSO | kevin.ellingsburg@co.jefferson.or.us,,or_41031
Jefferson,Confederated Tribes of Warm Springs,"1114 Warm Springs St., Warm Springs, OR 97761",541-588-0619,,tamera.calhoun@wstribes.org,https://warmsprings-nsn.gov/our-people/veterans/,Tamera Coffee - Veteran Advocate | tamera.calhoun@wstribes.org,,or_41031
Josephine,Josephine County VSO - Grants Pass,"Veteran Service Office, 500 NW 6th St. Dept. 15, Grants Pass, OR 97527",(541) 474-5454,(541) 474-5106,lpickart@josephinecounty.gov; cedwards@josephinecounty.gov,https://www.josephinecounty.gov/departments/veterans_service_office/index.php,Lisa Pickart - CVSO | lpickart@josephinecounty.gov Cindy Edwards - CVSO | cedwards@josephinecounty.gov,​Monday – Thursday 9 a.m. - 4 p.m. (closed for lunch 12 - 1 p.m.) Closed Friday,or_41033
Klamath,Klamath County VSO,"3328 Vandenberg Road (lower level), Klamath Falls, OR 97603",(541) 883-4274,(541) 885-2440,kpierce@co.klamath.or.us; tgentry@klamathcounty.org,https://www.klamathcounty.org/239/Veterans-Service-Office,Kathy Pierce - CVSO | kpierce@co.klamath.or.us Teri Gentry - Assistant | tgentry@klamathcounty.org,,or_41035
Klamath,Klamath Tribes,"6000 New Way, Klamath Falls, OR 97601",541-882-1487 x512,,Briston.Gilman@klamathtribalhealth.org,https://www.klamathtribalhealth.org/patient-benefits-program/,Briston Gilman - Veteran Advocate | 541-882-1487 x512 | Briston.Gilman@klamathtribalhealth.org,,or_41035
Lake,"Lake County VSO - Lakeview, Paisley, Adel, Plush","County Courthouse, 513 Center St, Lakeview, OR 97630",(541) 947-6043,(541) 947-2502,jpereyra@co.lake.or.us,http://www.lakecountyor.org/government/veteran_services.php,JP Pereyra - CVSO | jpereyra@co.lake.or.us,,or_41037
Lake,Lake County VSO - Christmas Valley,"North Lake Annex, 87127 Christmas Valley Highway, Christmas Valley, OR 97641","(541) 576-2115, ext 2",(541) 576-2086 Mon only. Tues - Fri  (541) 947-2502,jpereyra@co.lake.or.us,http://www.lakecountyor.org/government/veteran_services.php,JP Pereyra - CVSO | jpereyra@co.lake.or.us,,or_41037
Lane,Lane County VSO - Cottage Grove,"American Legion Post 32, 826 W. Main St., Cottage Grove, OR 97424",(541) 682-4191,(541) 682-2344,veterans@lanecountyor.gov,https://www.lanecounty.org/cms/one.aspx?pageId=4133203,"Joby Reiley - Program Manager Nathan Walker, Whitney Walker, Sadie Farmer, Jennifer Johnson - CVSOs",,or_41039
Lane,Lane County VSO - Florence,"DAV Post #23 1715 21st st, Florence, OR 97439",(541) 682-4191,(541) 682-2344,veterans@lanecountyor.gov,https://www.lanecounty.org/cms/one.aspx?pageId=4133203,"Joby Reiley - Program Manager Nathan Walker, Whitney Walker, Sadie Farmer, Jennifer Johnson - CVSOs",,or_41039
Lane,Lane County VSO - Eugene (MAIN OFFICE),"151 W 7th Ave Suite 460, Eugene, OR 97401",(541) 682-4191,(541) 682-2344,veterans@lanecountyor.gov,https://www.lanecounty.org/cms/one.aspx?pageId=4133203,"Joby Reiley - Program Manager Nathan Walker, Whitney Walker, Sadie Farmer, Jennifer Johnson - CVSOs",Monday - Friday  8 a.m. - 5 p.m. Closed 12 - 1 p.m.,or_41039
Lane,"Confederated Tribes of Coos, Lower Umpqua and Siuslaw Indians","5647 Highway 126 Ste. 100, Florence, OR 97439",541-999-2610,,rsnyder@ctclusi.org,https://ctclusi.org/veterans/,Robert Snyder - Veteran Advocate | 541-999-2610 | rsnyder@ctclusi.org,,or_41039
Lincoln,Lincoln County VSO - Newport,"Across from OSU Extension Service above the Airgas store, 1231 SE Bay Blvd, Ste A, Newport, OR 97365",(541) 265-0570,(541) 265-0575,vets@co.lincoln.or.us,http://www.co.lincoln.or.us/veteran,,,or_41041
Lincoln,Confederated Tribes of Siletz Reservation,"Administration & Programs Building, 201 SE Swan Ave, Siletz, OR 97380",(541) 444-8330 or (541) 272-9054,,VeteransCoordinator@ctsi.nsn.us,https://www.ctsi.nsn.us/veterans-services/,"William ""Buster"" Lane - Veterans Representative & Honor Guard Director | 541-272-9054 | VeteransCoordinator@ctsi.nsn.us",,or_41041
Linn,Linn County VSO - Albany,"505 SW Ellsworth St., Albany, OR 97321",(800) 319-3882 or (541) 967-3882,(541) 928-3517,linnvet@co.linn.or.us; dbaley@co.linn.or.us; rmckibben@co.linn.or.us,https://www.co.linn.or.us/vets,Dee Baley-Hyder - Supervisor | dbaley@co.linn.or.us Robert Mckibben - CVSO | rmckibben@co.linn.or.us Kari Startin - CVSO,,or_41043
Malheur,Malheur County VSO - Ontario,"316 NE Goodfellow St. Suite 4, Ontario, OR 97914",(541) 889-6649,(541) 889-3367 [Please call before sending faxes],veterans@malheurco.org,https://www.malheurco.org/veteran-services-2/,Connie Tanaka - CVSO,,or_41045
Malheur,Malheur County VSO - Vale,"Vale Senior Center, 182 Cottage St South, Vale, OR 97918",(541) 889-6649,(541) 889-3367 [Please call before sending faxes],veterans@malheurco.org,https://www.malheurco.org/veteran-services-2/,Connie Tanaka - CVSO,,or_41045
Marion,Marion County VSO,"780 Commercial Street SE, Ste 302, Salem, OR 97301",971-707-4400,503-386-2173,info.vso@mwvcaa.org,https://www.co.marion.or.us/BOC/Veterans/Pages/Veteran-Services.aspx,James Riddle - Lead CVSO Eddie Grainger - CVSO,,or_41047
Morrow,Morrow County VSO,"215 NE Main Ave, Irrigon, OR 97844",(541) 922-6420,(541) 922-2644,mcvets@co.morrow.or.us,https://www.co.morrow.or.us/veteransservices,Amanda Kendrick - CVSO,,or_41049
Multnomah,Multnomah County VSO - Five Oak Building,"Five Oak Building, 209 SW 4th Ave., Portland, OR 97204",(503) 988-8387,(503) 988-5566,veteran.services@multco.us,https://multco.us/veterans,"Sheila Balbin - Program Supervisor, ACVSO Julia Valencia - Outreach Coordinator, ACVSO Eric Windham - ACVSO",,or_41051
Multnomah,Multnomah County VSO - Portland VA Medical Center,"Portland VA Medical Center, Main Building, 3rd Floor Chaplain/Social Work Office (Room 3B-100), 1505 NE 122nd Ave, Portland, OR 97239",(503) 988-8387,(503) 988-5566,veteran.services@multco.us,https://multco.us/veterans,"Sheila Balbin - Program Supervisor, ACVSO Julia Valencia - Outreach Coordinator, ACVSO Eric Windham, Jackie Lamb, Lupe Solano, Pete Perez - ACVSOs",,or_41051
Polk,Polk County VSO,"1407 Monmouth-Independence Hwy, Monmouth, Oregon 97361",(503) 751-1644,(503) 623-7902,vso@co.polk.or.us,https://www.co.polk.or.us/fco/veteran-services-office-0,,,or_41053
Polk,Confederated Tribes of Grand Ronde,"9615 Grand Ronde Rd, Grand Ronde, OR 97347",(503) 879-1484,,CTGRTribalVSO@grandronde.org; Ramona.Quenelle@grandronde.org,https://www.grandronde.org/government/social-services/veterans-services/,Ramona Quenelle - TVSO | (503) 879-1484 | Ramona.Quenelle@grandronde.org,,or_41053
Sherman,Sherman County VSO,"300 Dewey St, Moro, OR 97039",(541) 565-3408 or (541) 705-0051,(541) 565-3312,veteranservice@co.sherman.or.us,https://www.co.sherman.or.us/departments/veterans-services/,Paul Conway - CVSO,,or_41055
Tillamook,Tillamook County VSO,"Tillamook County Justice Court, 201 Laurel Ave, Basement Level, Room 12, Tillamook, OR 97141",(503) 842-4358,(503) 842-2174,ntorres@co.tillamook.or.us; ntorres@co.tillamook.or.us; hrieger@co.tillamook.or.us; reasysto@co.tillamook.or.us,http://www.co.tillamook.or.us/veterans-services,Nicholas Torres - CVSO | ntorres@co.tillamook.or.us Heidi Rieger - CVSO | hrieger@co.tillamook.or.us Rolan Easystone - CVSO | reasysto@co.tillamook.or.us,,or_41057
Umatilla,Umatilla County VSO - Pendleton,"125 SE Court Ave., Suite 7, Pendleton, OR 97838",(541) 278-6363,(541) 278-5484,vets@umatillacounty.gov; lola.lopez@umatillacounty.gov; sunshine.mason@umatillacounty.gov,https://vets.umatillacounty.gov/,,,or_41059
Umatilla,Umatilla County VSO - Milton-Freewater,"418 N Main St, Milton-Freewater, OR 97862",(541) 278-6363,(541) 278-5484,vets@umatillacounty.gov; lola.lopez@umatillacounty.gov; sunshine.mason@umatillacounty.gov,https://vets.umatillacounty.gov/,Lola Lopez - CVSO | lola.lopez@umatillacounty.gov Sunshine Mason - CVSO | sunshine.mason@umatillacounty.gov,,or_41059
Umatilla,Umatilla County VSO - Hermiston,"915 SE Columbia Dr, Hermiston, OR 97838",(541) 278-6363,(541) 278-5484,vets@umatillacounty.gov; lola.lopez@umatillacounty.gov; sunshine.mason@umatillacounty.gov,https://vets.umatillacounty.gov/,,,or_41059
Umatilla,Confederated Tribes of the Umatilla Indian Reservation,"Nixyaawii Governance Center, 46411 Ti'mine Way, Pendleton, OR 97801",(541) 429-7389,,,https://ctuir.org/departments/children-and-family-services/veterans-services/,,,or_41059
Union,Union County VSO,"2301 Cove Ave, La Grande, OR 97850",(541) 962-8842,(541) 610-1510,bblais@chdinc.org,https://chdinc.org/veterans,Brian Blais - CVSO | bblais@chdinc.org,,or_41061
Wallowa,Wallowa County VSO,"107 SW 1st St, Ste 103, Enterprise, OR 97828",(541) 426-0539,(541) 426-0539,vets@co.wallowa.or.us,https://www.co.wallowa.or.us/veterans-service,Ted Thorne - CVSO,Monday - Wednesday: 7 a.m. - 5 p.m.,or_41063
Wasco,Wasco County VSO,"401 E 3rd Street, Suite 200, The Dalles, OR 97058",(541) 506-2502,(541) 506-2501,veteransv@co.wasco.or.us; russellj@co.wasco.or.us; chelseap@co.wasco.or.us,https://www.co.wasco.or.us/departments/veterans_services/index.php,Elijah Preston - Supervisor / Office Manager Russell Jones - CVSO | russellj@co.wasco.or.us Chelsea Perritt - CVSO | chelseap@co.wasco.or.us,Monday - Wednesday: 9 a.m. - 5 p.m.  | Openen for walk-ins |Closed from 12 p.m. - 1 p.m.,or_41065
Washington,Washington County VSO,"5240 NE Elam Young Parkway, Suite 300, Hillsboro, OR 97124",(503) 846-3060,(503) 846-3059,HHSDAVSInfo@washingtoncountyor.gov,https://www.washingtoncountyor.gov/davs/veteran-services,,,or_41067
Wheeler,Wheeler County VSO,"Family Services Building, 401 4th St., Fossil, OR 97830",(541) 763-3032 or (541) 705-0051,(541) 565-3312,veteranservice@co.sherman.or.us,http://www.wheelercountyoregon.com/#%21veterans-services/c1kru,Paul Conway - CVSO,,or_41069
Yamhill,Yamhill County VSO,"330 NE Kirby St, McMinnville, OR 97128",(503) 434-7503,(503) 435-2667,wilsonj@co.yamhill.or.us; castroc@co.yamhill.or.us,https://hhs.co.yamhill.or.us/540/Veterans-Services,Jerry Wilson - CVSO | wilsonj@co.yamhill.or.us Claudia Castro - CVSO | castroc@co.yamhill.or.us,,or_41071
