Office,Counties_Served,Phone,Address,geo_tag
Montgomery County Veterans Service Agency,Montgomery,(518) 853-8152,"64 Broadway P.O. Box 1500, Fonda , NY 12068-9802",ny_36057
Mount Vernon Veterans Service Agency,Westchester,(914) 665-2319,"City Hall, Room 4, 1 Roosevelt Square, Mt. Vernon , NY 10550",ny_36119
Nassau County Veterans Service Agency,Nassau,(516) 572-6565,"2201 Hempstead Turnpike Building Q, East Meadow, NY 11554",ny_36059
New York State Department of Veterans&#039; Services - Batavia,Genesee,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36037
New York State Department of Veterans’ Services - Bath,"Allegany, Schuyler, Steuben, Yates",(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36003
New York State Department of Veterans’ Services - Binghamton,Broome,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36007
New York State Department of Veterans’ Services - Bronx,Bronx,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36005
New York State Department of Veterans’ Services – Brooklyn Vet Ce...,Kings,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36047
New York State Department of Veterans’ Services - Canandaigua,Ontario,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36069
New York State Department of Veterans’ Services - Castle Point,Dutchess,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36027
New York State Department of Veterans’ Services – c/o Albany VA M...,Albany,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36001
New York State Department of Veterans’ Services – c/o Albany Vet...,Albany,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36001
New York State Department of Veterans’ Services - c/o Buffalo VAM...,Erie,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36029
New York State Department of Veterans’ Services - Dulles State Of...,Jefferson,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36045
New York State Department of Veterans’ Services - East Greenbush,Rensselaer,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36083
New York State Department of Veterans’ Services - Elizabethtown,Essex,(518) 873-3488,"7551 Court Street P.O. Box 217, Elizabethtown , NY 12932",ny_36031
New York State Department of Veterans’ Services - Elmira,Chemung,(607) 733-2178,"425 Pennsylvania Avenue, Room 303 P.O. Box 588, Elmira , NY 14902",ny_36015
New York State Department of Veterans’ Services - Hamburg Town Ha...,Erie,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36029
New York State Department of Veterans’ Services - Hicksville,Nassau,(516) 934-8516,"301 W Old Country Rd, Hicksville , NY 11801",ny_36059
New York State Department of Veterans’ Services - Jamestown,Chautauqua,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36013
New York State Department of Veterans’ Services - Manhattan VAMC,New York,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36061
New York State Department of Veterans’ Services - Massena Town Ha...,St. Lawrence,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36089
New York State Department of Veterans’ Services - Montrose VA Med...,Westchester,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36119
New York State Department of Veterans’ Services - Niagara Falls,Niagara,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36063
New York State Department of Veterans&#039; Services - Northport (Th),Suffolk,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36103
New York State Department of Veterans’ Services - NYC VA Regional...,New York,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36061
New York State Department of Veterans’ Services - Olean,Cattaraugus,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36009
New York State Department of Veterans’ Services - Oneonta,Otsego,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36077
New York State Department of Veterans’ Services - Plattsburgh,Clinton,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36019
New York State Department of Veterans&#039; Services - Potsdam,St. Lawrence,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36089
New York State Department of Veterans’ Services - Queensbury,Warren,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36113
New York State Department of Veterans’ Services - Rochester,Monroe,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36055
New York State Department of Veterans’ Services - Saratoga Spring...,Saratoga,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36091
New York State Department of Veterans’ Services - Schenectady (M-...,Schenectady,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36093
New York State Department of Veterans’ Services - SFAC Clark Hall,Jefferson,(315) 773-0196,"Mt. Belvedere Boulevard Building P10720, Room A2-4, Fort Drum , NY 13602",ny_36045
New York State Department of Veterans&#039; Services - Sidney,Delaware,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36025
New York State Department of Veterans’ Services - Staten Island,Richmond,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36085
New York State Department of Veterans’ Services - Syracuse,Onondaga,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36067
New York State Department of Veterans’ Services - Troy,Rensselaer,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36083
New York State Department of Veterans’ Services - Utica,Oneida,(315) 765-0975 ext. 220,"726 Washington St, Utica , NY 13502",ny_36065
New York State Department of Veterans’ Services - VA Extended Car...,Queens,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36081
New York State Department of Veterans’ Services - Watertown Vet C...,Jefferson,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36045
New York State Department of Veterans’ Services - West Point,Orange,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36071
New York State Department of Veterans&#039; Services - White Plains,Westchester,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36119
New York State Department of Veterans’ Services - WNY Heroes,Erie,(718) 584-9000 ext. 6361,"130 West Kingsbridge Road Room 4B-39, Bronx , NY 10468",ny_36029
Niagara County Veterans Service Agency,Niagara,(716) 438-4090,"175 Hawley St, Lockport , NY 14094",ny_36063
Northport VAMC,Suffolk,(718) 526-1000 ext. 2-2217,"79 Middleville Road, Bldg 9. Rm. 103, Northport, NY 11768",ny_36103
NYC Department of Veterans&#039; Services,New York,212-416-5250,"1 Centre Street, Suite 2208, New York, NY 10007",ny_36061
NYC Dept. of Veterans’ Services – Bronx,Bronx,(718) 590-3500,"Bronx Borough Hall, 851 Grand Concourse, Bronx , NY 10451",ny_36005
NYC Dept. of Veterans’ Services - Manhattan,New York,212-416-5250,"Manhattan Borough Hall, 431 W 125th St, New York, NY 10027",ny_36061
NYC Dept. of Veterans’ Services - Queens,Queens,212-416-5250,"Queens Borough Hall, 120-55 Queens Blvd, Kew Gardens , NY 11424",ny_36081
NYC Dept. of Veterans’ Services – Staten Island,Richmond,212-416-5250,"Boro Hall Building, 10 Richmond Terrace Room G-15, Staten Island , NY 10301",ny_36085
Oneida County Veterans Service Agency,Oneida,&nbsp;(315) 336-4270,"125 Brookley Road, Rome&nbsp;,&nbsp;NY&nbsp;13441",ny_36065
Onondaga County Veterans Service Agency,Onondaga,(315) 435-3219,"421 Montgomery Street 10th floor, Syracuse , NY 13202",ny_36067
Ontario County Veterans Service Agency,Ontario,(585) 396-4185,"3010 County Complex Drive, Canandaigua , NY 14424-9505",ny_36069
Orange County Veterans Service Agency,Orange,(845) 291-2470,"111 Craigville Road, Goshen , NY 10924",ny_36071
Orleans County Veterans Service Agency,Orleans,(585) 589-3219,"13996 Route 31, Albion , NY 14411-9303",ny_36073
Oswego County Veterans Service Agency,Oswego,(315) 591-9100,"200 North 2nd Street, Fulton , NY 13069",ny_36075
Otsego County Veterans Service Agency,Otsego,(607) 547-4224,"197 Main Street, Cooperstown , NY 13326",ny_36077
Putnam County Veterans Service Agency,Putnam,(845) 808-1620,"110 Old Route 6 BLDG 3 – Room 45, Carmel , NY 10512",ny_36079
Rensselaer County Veterans Service Agency,Rensselaer,(518) 270-2760,"99 Troy Road, East Greenbush , NY 12061",ny_36083
Rockland County Veterans Service Agency,Rockland,(845) 638-5244,"20 Squadron Boulevard Suite 480, New City , NY 10956",ny_36087
Saratoga County Veterans Service Agency,Saratoga,(518) 884-4115,"2144 Doubleday Avenue Suite 15, Ballston Spa , NY 12020",ny_36091
Schenectady County Veterans Service Agency,Schenectady,(518) 377-2423,"797 Broadway, Schenectady , NY 12305",ny_36093
Schoharie County Veterans Service Agency,Schoharie,(518) 255-9762,"284 Main Street 3rd Floor, Schoharie , NY 12157",ny_36095
Schuyler County Veterans Service Agency,Schuyler,(607) 535-2091,"323 Owego Street Unit #2, Montour Falls , NY 14865",ny_36097
Seneca County Veterans Service Agency,Seneca,(315) 539-1651,"1 DiPronio Drive, Waterloo , NY 13165",ny_36099
St. Lawrence County Veterans Service Agency,St. Lawrence,(315) 386-4754,"80 State Highway 310 Suite 5, Canton , NY 13617-1495",ny_36089
Staten Island Borough Hall,Richmond,(929) 775-3386  ,"10 Richmond Terr, 3rd Flr. Rm. 313, Staten Island, NY 10301",ny_36085
Steuben County Veterans Service Agency,Steuben,(607) 664-2527,"3 E. Pulteney Square, Bath , NY 14810-1510",ny_36101
Suffolk County Veterans Service Agency,Suffolk,(631) 853-8383,"100 Veterans Memorial Highway P.O. Box 6100, Hauppauge , NY 11788",ny_36103
Sullivan County Veterans Service Agency,Sullivan,(845) 807-0233,"100 North Street P.O. Box 5012, Monticello , NY 12701",ny_36105
Syracuse VAMC,Onondaga,(315) 425-4400,"800 Irving Ave, Room CG41, Syracuse , NY 13210",ny_36067
Tioga County Veterans Service Agency,Tioga,(607) 687-8228,"1062 Route 38,Room 1145 P.O. Box 84, Owego , NY 13827",ny_36107
Tompkins County Veterans Service Agency,Tompkins,607-274-5920,"Human Services Annex, 111 N. Albany St, Ithaca, NY 14850",ny_36109
Ulster County (NY) Veteran Services Agency,Ulster,(845) 340-3190,"5 Development Court, Kingston , NY 12401",ny_36111
Warren County Veterans Service Agency,Warren,(518) 761-6342,"1340 State Route 9, Lake George , NY 12845",ny_36113
Washington County Veterans Service Agency,Washington,(518) 746-2470,"383 Broadway, Ft. Edward , NY 12828",ny_36115
Wayne County Veterans Service Agency,Wayne,(315) 946-5993,"7376 Route 31 Suite 1300, Lyons , NY 14489",ny_36117
Westchester County Veterans Service Agency,Westchester,(914) 813-5145/5146,"10 County Center Road, 2nd floor, Suite 204, White Plains , NY 10607",ny_36119
Wyoming County Veterans Service Agency,Wyoming,(585) 786-8860,"5362 Mungers Mill Road Building A, Silver Springs , NY 14550",ny_36121
Yates County Veterans Service Agency,Yates,(315) 536-5196,"417 Liberty Street Suite 2120, Penn Yan , NY 14527",ny_36123
Yonkers Veterans Service Agency,Westchester,(914) 377-6700,"120 New Main Street, Yonkers , NY 10701",ny_36119
